suite,experiment_id,dataset_id,model_id,capability_id,exposed_view_count,status
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_fast_h,Timer-4.0,covariate_impulse_response,11965,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_fast_h,Timer-4.0,cross_series_dependence,11680,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_fast_h,Chronos-2,covariate_impulse_response,11965,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_fast_h,Chronos-2,cross_series_dependence,11680,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_fast_h,tirex2,covariate_impulse_response,11965,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_fast_h,tirex2,cross_series_dependence,11680,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_fast_h,toto2.0,cross_series_dependence,11680,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_rnd_h,Timer-4.0,covariate_impulse_response,4835,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_rnd_h,Timer-4.0,cross_series_dependence,4635,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_rnd_h,Chronos-2,covariate_impulse_response,4835,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_rnd_h,Chronos-2,cross_series_dependence,4635,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_rnd_h,tirex2,covariate_impulse_response,4835,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_rnd_h,tirex2,cross_series_dependence,4635,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bitbrains_rnd_h,toto2.0,cross_series_dependence,4635,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_application,Timer-4.0,covariate_impulse_response,75,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_application,Timer-4.0,cross_series_dependence,75,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_application,Chronos-2,covariate_impulse_response,75,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_application,Chronos-2,cross_series_dependence,75,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_application,tirex2,covariate_impulse_response,75,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_application,tirex2,cross_series_dependence,75,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_application,toto2.0,cross_series_dependence,75,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_l2c_h,Timer-4.0,common_factor,30,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_l2c_h,Timer-4.0,covariate_impulse_response,30,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_l2c_h,Timer-4.0,cross_series_dependence,30,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_l2c_h,Chronos-2,common_factor,30,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_l2c_h,Chronos-2,covariate_impulse_response,30,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_l2c_h,Chronos-2,cross_series_dependence,30,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_l2c_h,tirex2,common_factor,30,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_l2c_h,tirex2,covariate_impulse_response,30,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_l2c_h,tirex2,cross_series_dependence,30,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_l2c_h,toto2.0,common_factor,30,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_l2c_h,toto2.0,cross_series_dependence,30,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_service,Timer-4.0,covariate_impulse_response,1575,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_service,Timer-4.0,cross_series_dependence,975,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_service,Chronos-2,covariate_impulse_response,1575,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_service,Chronos-2,cross_series_dependence,975,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_service,tirex2,covariate_impulse_response,1575,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_service,tirex2,cross_series_dependence,975,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_bizitobs_service,toto2.0,cross_series_dependence,975,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_ett1_h,Timer-4.0,common_factor,100,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_ett1_h,Timer-4.0,cross_series_dependence,100,eligible
gift,gift-v15-short-qualified-feasible-seed2026082701,gift_ett1_h,Chronos-2,common_factor,100,eligible
