suite,ablated_input_mase_micro_mean,capability_id,capability_level,dataset_count,full_input_mase_micro_mean,model_id,paired_view_count,positive_degradation_fraction,schema_version,target_only_mase_degradation_micro_mean,target_only_mase_degradation_task_equal_mean,target_only_response_ratio_micro_mean,term
gift,1.4180844552131733,common_factor,1,4,1.4024682257314731,Chronos-2,9,0.6666666666666666,cafe.target_only_ablation_trial.v1,0.015616229481700074,0.00681761509053385,0.4898619718865756,long
gift,1.4451610270105517,common_factor,2,4,1.4181537653524199,Chronos-2,9,0.6666666666666666,cafe.target_only_ablation_trial.v1,0.02700726165813196,0.014810051208370062,0.38872458348652683,long
gift,1.4787436994806653,common_factor,3,4,1.4321926886593748,Chronos-2,9,0.7777777777777778,cafe.target_only_ablation_trial.v1,0.046551010821290345,0.02760990058616343,0.3292599920271448,long
gift,1.5221529222438097,common_factor,4,4,1.4425000782946287,Chronos-2,9,0.5555555555555556,cafe.target_only_ablation_trial.v1,0.0796528439491812,0.05109592838691343,0.25745145651510515,long
gift,1.5610849998720262,common_factor,5,4,1.460499005722503,Chronos-2,9,0.5555555555555556,cafe.target_only_ablation_trial.v1,0.10058599414952318,0.06767296623822744,0.20991599605783814,long
gift,5.514438954722118,covariate_impulse_response,1,3,5.518374562889427,Chronos-2,112,0.41964285714285715,cafe.target_only_ablation_trial.v1,-0.003935608167306898,-0.003047637301220094,0.08536888336720974,long
gift,6.3114436113584125,covariate_impulse_response,2,3,6.309347740010848,Chronos-2,112,0.45535714285714285,cafe.target_only_ablation_trial.v1,0.002095871347566843,0.008315745392073453,0.059661920639316586,long
gift,7.023093431975113,covariate_impulse_response,3,3,7.0234495046872905,Chronos-2,112,0.41964285714285715,cafe.target_only_ablation_trial.v1,-0.0003560727121785477,0.0033404555046420634,0.047380625045767774,long
gift,8.114466843296425,covariate_impulse_response,4,3,8.116974829077149,Chronos-2,112,0.49107142857142855,cafe.target_only_ablation_trial.v1,-0.002507985780723629,-0.0025208696260145577,0.03850285662113346,long
gift,9.008960882395058,covariate_impulse_response,5,3,9.0257415366497,Chronos-2,112,0.48214285714285715,cafe.target_only_ablation_trial.v1,-0.01678065425463905,-0.03166957460066951,0.0345491448945647,long
gift,9.598625690860471,cross_series_dependence,1,6,9.571736915776144,Chronos-2,25,0.4,cafe.target_only_ablation_trial.v1,0.02688877508432532,-0.012174484106316814,0.5476480524832356,long
gift,12.10047835398224,cross_series_dependence,2,6,12.0785079873964,Chronos-2,25,0.4,cafe.target_only_ablation_trial.v1,0.021970366585839004,-0.014561796568391254,0.3772192821178269,long
gift,15.849467303718392,cross_series_dependence,3,6,15.823847616263503,Chronos-2,25,0.36,cafe.target_only_ablation_trial.v1,0.025619687454885874,-0.006696646264891072,0.25632462686272695,long
gift,20.09576661464995,cross_series_dependence,4,6,20.058337667266,Chronos-2,25,0.4,cafe.target_only_ablation_trial.v1,0.037428947383950154,-0.001734039746069745,0.20128703308422902,long
gift,27.785576118052905,cross_series_dependence,5,6,27.72994232766856,Chronos-2,25,0.44,cafe.target_only_ablation_trial.v1,0.05563379038434645,0.00719969051704708,0.14845126934676287,long
gift,1.281596557915244,common_factor,1,4,1.2617819661385452,Timer-4.0,9,0.5555555555555556,cafe.target_only_ablation_trial.v1,0.019814591776698656,0.042286677749869495,0.8589837833935041,long
gift,1.3323089909027248,common_factor,2,4,1.2696626715112436,Timer-4.0,9,0.4444444444444444,cafe.target_only_ablation_trial.v1,0.06264631939148109,0.0796976054351202,0.6271357999148808,long
gift,1.401484134967839,common_factor,3,4,1.3055662917651623,Timer-4.0,9,0.5555555555555556,cafe.target_only_ablation_trial.v1,0.09591784320267704,0.10393692389857556,0.45290748272066417,long
gift,1.5683430763365311,common_factor,4,4,1.4609474224731909,Timer-4.0,9,0.5555555555555556,cafe.target_only_ablation_trial.v1,0.10739565386334003,0.10265078910047762,0.264037522674752,long
gift,1.7046086833767196,common_factor,5,4,1.6200465813754565,Timer-4.0,9,0.5555555555555556,cafe.target_only_ablation_trial.v1,0.08456210200126277,0.07160929013223527,0.17127244251363816,long
gift,6.887226120555972,covariate_impulse_response,1,3,6.948056417020361,Timer-4.0,112,0.49107142857142855,cafe.target_only_ablation_trial.v1,-0.06083029646438864,-0.10826303854492257,0.061118167140736084,long
gift,8.633867688267616,covariate_impulse_response,2,3,8.614390312479856,Timer-4.0,112,0.49107142857142855,cafe.target_only_ablation_trial.v1,0.019477375787758676,0.0472812906595701,0.041688933161892885,long
gift,9.93474734048198,covariate_impulse_response,3,3,9.966506305354125,Timer-4.0,112,0.5267857142857143,cafe.target_only_ablation_trial.v1,-0.03175896487214257,-0.04857262668513084,0.02981186916475096,long
gift,11.936809641610523,covariate_impulse_response,4,3,11.9412347947405,Timer-4.0,112,0.5,cafe.target_only_ablation_trial.v1,-0.004425153129981713,-0.0025148961629073625,0.023282749503506114,long
gift,14.036608479727802,covariate_impulse_response,5,3,13.992692146021739,Timer-4.0,112,0.5446428571428571,cafe.target_only_ablation_trial.v1,0.043916333706062946,0.0869231961108463,0.020902355597732847,long
gift,11.422871644809177,cross_series_dependence,1,6,11.664046545804485,Timer-4.0,25,0.52,cafe.target_only_ablation_trial.v1,-0.24117490099530925,-0.01626629671346988,0.5823814643016635,long
gift,14.192626647316011,cross_series_dependence,2,6,14.387282770668977,Timer-4.0,25,0.6,cafe.target_only_ablation_trial.v1,-0.1946561233529681,0.005816947617013267,0.40861517120090973,long
gift,18.131048947140815,cross_series_dependence,3,6,18.265631038708417,Timer-4.0,25,0.64,cafe.target_only_ablation_trial.v1,-0.13458209156760378,0.0378069384994451,0.2913852749743976,long
gift,22.91828220195678,cross_series_dependence,4,6,22.904887838735522,Timer-4.0,25,0.68,cafe.target_only_ablation_trial.v1,0.013394363221258426,0.11740601180976988,0.21535031738941662,long
gift,31.231395242931484,cross_series_dependence,5,6,31.364435743749464,Timer-4.0,25,0.68,cafe.target_only_ablation_trial.v1,-0.1330405008179806,0.11047837363229074,0.1530895684718606,long
gift,1.6078231585437825,common_factor,1,4,1.6253012181444286,toto2.0,9,0.3333333333333333,cafe.target_only_ablation_trial.v1,-0.01747805960064593,-0.015743762293674045,0.2886556733827175,long
gift,1.6407664149794587,common_factor,2,4,1.6575811276535692,toto2.0,9,0.3333333333333333,cafe.target_only_ablation_trial.v1,-0.016814712674110513,-0.014894458822113942,0.22112427853890862,long
gift,1.6924500255935537,common_factor,3,4,1.7091588387996088,toto2.0,9,0.4444444444444444,cafe.target_only_ablation_trial.v1,-0.016708813206055082,-0.014213041053433885,0.16815599205445553,long
gift,1.8302918284740235,common_factor,4,4,1.8404563292839233,toto2.0,9,0.5555555555555556,cafe.target_only_ablation_trial.v1,-0.010164500809900032,-0.00807315590209558,0.127254703431321,long
gift,1.9358673534110602,common_factor,5,4,1.9455202587271054,toto2.0,9,0.5555555555555556,cafe.target_only_ablation_trial.v1,-0.009652905316044964,-0.008085338145073544,0.11130608561065006,long
gift,156.44607165028515,cross_series_dependence,1,6,155.46658535598957,toto2.0,25,0.48,cafe.target_only_ablation_trial.v1,0.9794862942955816,0.2562326381380094,0.47536206296863914,long
gift,164.537287642766,cross_series_dependence,2,6,163.56180340401642,toto2.0,25,0.44,cafe.target_only_ablation_trial.v1,0.9754842387495833,0.257401240695086,0.28640770424533435,long
gift,175.78448680952434,cross_series_dependence,3,6,174.83428366097726,toto2.0,25,0.32,cafe.target_only_ablation_trial.v1,0.9502031485471228,0.25492894801824223,0.20250144322341002,long
gift,189.0320317242775,cross_series_dependence,4,6,188.46925341046935,toto2.0,25,0.44,cafe.target_only_ablation_trial.v1,0.5627783138081116,0.14756895974245163,0.14698763832674072,long
gift,210.13714331107084,cross_series_dependence,5,6,209.8568050803803,toto2.0,25,0.48,cafe.target_only_ablation_trial.v1,0.28033823069055025,0.0613646399697391,0.11633416960643427,long
