suite,term,dataset_id,model_id,capability_id,capability_level,paired_view_count,mase_degradation_mean,mase_degradation_median,positive_degradation_fraction,full_input_mase_mean,ablated_input_mase_mean,response_ratio_mean
gift,long,gift_bizitobs_application,Chronos-2,covariate_impulse_response,1,1,0.0023038347772477152,0.0023038347772477152,1.0,10.08189981171422,10.084203646491467,0.005104124298387885
gift,long,gift_bizitobs_application,Chronos-2,covariate_impulse_response,2,1,0.0022864772149713275,0.0022864772149713275,1.0,9.799864645187643,9.802151122402615,0.0027842795106169447
gift,long,gift_bizitobs_application,Chronos-2,covariate_impulse_response,3,1,0.0005187749261335028,0.0005187749261335028,1.0,9.559647309750787,9.56016608467692,0.0019418422422189403
gift,long,gift_bizitobs_application,Chronos-2,covariate_impulse_response,4,1,-0.003931511460013581,-0.003931511460013581,0.0,9.217428053329854,9.21349654186984,0.0012625311060211956
gift,long,gift_bizitobs_application,Chronos-2,covariate_impulse_response,5,1,-0.012882442807148564,-0.012882442807148564,0.0,8.9668297576702,8.95394731486305,0.0013325984199624259
gift,long,gift_bizitobs_application,Chronos-2,cross_series_dependence,1,1,-0.03444069100724434,-0.03444069100724434,0.0,8.163483762527887,8.129043071520643,0.00651923950970281
gift,long,gift_bizitobs_application,Chronos-2,cross_series_dependence,2,1,-0.03331632348469071,-0.03331632348469071,0.0,11.449681538747146,11.416365215262456,0.005462706691725046
gift,long,gift_bizitobs_application,Chronos-2,cross_series_dependence,3,1,-0.02835649651409966,-0.02835649651409966,0.0,17.61497984285333,17.58662334633923,0.0035241216712759973
gift,long,gift_bizitobs_application,Chronos-2,cross_series_dependence,4,1,-0.021972576168515445,-0.021972576168515445,0.0,21.54324596491454,21.521273388746025,0.002538377248486292
gift,long,gift_bizitobs_application,Chronos-2,cross_series_dependence,5,1,-0.015551989392854182,-0.015551989392854182,0.0,38.49401817502598,38.478466185633124,0.0013841274865160518
gift,long,gift_bizitobs_application,Timer-4.0,covariate_impulse_response,1,1,-1.9935807928916915e-05,-1.9935807928916915e-05,0.0,11.585381121103236,11.585361185295307,0.026012632477141015
gift,long,gift_bizitobs_application,Timer-4.0,covariate_impulse_response,2,1,0.03963061937440315,0.03963061937440315,1.0,12.173063682398098,12.212694301772501,0.015978277002640047
gift,long,gift_bizitobs_application,Timer-4.0,covariate_impulse_response,3,1,0.02261359893899062,0.02261359893899062,1.0,12.457574799696024,12.480188398635015,0.00976708580994989
gift,long,gift_bizitobs_application,Timer-4.0,covariate_impulse_response,4,1,0.017751838710955425,0.017751838710955425,1.0,13.197431279999382,13.215183118710337,0.0061545232695313454
gift,long,gift_bizitobs_application,Timer-4.0,covariate_impulse_response,5,1,0.035938475876704956,0.035938475876704956,1.0,13.846954233878149,13.882892709754854,0.0050106530366975785
gift,long,gift_bizitobs_application,Timer-4.0,cross_series_dependence,1,1,0.14555884054677293,0.14555884054677293,1.0,7.284251516609865,7.429810357156638,0.09106687691956501
gift,long,gift_bizitobs_application,Timer-4.0,cross_series_dependence,2,1,0.16946320860099462,0.16946320860099462,1.0,10.707016012744255,10.87647922134525,0.06375738988268422
gift,long,gift_bizitobs_application,Timer-4.0,cross_series_dependence,3,1,0.19421056580494067,0.19421056580494067,1.0,16.9195702644052,17.11378083021014,0.04048397848512114
gift,long,gift_bizitobs_application,Timer-4.0,cross_series_dependence,4,1,0.25686760784347484,0.25686760784347484,1.0,20.821523670495434,21.07839127833891,0.03344617831304628
gift,long,gift_bizitobs_application,Timer-4.0,cross_series_dependence,5,1,0.40940658412334585,0.40940658412334585,1.0,38.13225939745662,38.54166598157997,0.02334185056926011
gift,long,gift_bizitobs_application,toto2.0,cross_series_dependence,1,1,0.007682509225837464,0.007682509225837464,1.0,7.2415198315697165,7.249202340795554,0.01988171799150748
gift,long,gift_bizitobs_application,toto2.0,cross_series_dependence,2,1,0.007973288530870093,0.007973288530870093,1.0,10.582981540408781,10.590954828939651,0.01353259343823729
gift,long,gift_bizitobs_application,toto2.0,cross_series_dependence,3,1,0.017993231149894484,0.017993231149894484,1.0,16.939692113314972,16.957685344464867,0.008417071475233674
