objective_id,corpus,step,world_size,rank_count,mase_stratum_count,effect_stratum_count,treatment_count,all_parts_complete
default,cross,0,3,3,390,390,48365,True
default,cross,4000,4,4,390,390,48365,True
default,cross,8000,4,4,390,390,48365,True
default,cross,12000,4,4,390,390,48365,True
default,cross,16000,4,4,390,390,48365,True
default,cross,20000,4,4,390,390,48365,True
default,cross,24000,4,4,390,390,48365,True
default,cross,28000,4,4,390,390,48365,True
default,cross,32000,4,4,390,390,48365,True
default,cross,36000,4,4,390,390,48365,True
default,cross,40000,4,4,390,390,48365,True
default,train,0,3,3,390,388,50535,True
default,train,4000,3,3,390,388,50535,True
default,train,8000,3,3,390,388,50535,True
default,train,12000,3,3,390,388,50535,True
default,train,16000,3,3,390,388,50535,True
default,train,20000,3,3,390,388,50535,True
default,train,24000,3,3,390,388,50535,True
default,train,28000,3,3,390,388,50535,True
default,train,32000,3,3,390,388,50535,True
default,train,36000,3,3,390,388,50535,True
default,train,40000,3,3,390,388,50535,True
effect_nrmse,cross,0,3,3,390,390,48365,True
effect_nrmse,cross,4000,4,4,390,390,48365,True
effect_nrmse,cross,8000,4,4,390,390,48365,True
effect_nrmse,cross,12000,4,4,390,390,48365,True
effect_nrmse,cross,16000,4,4,390,390,48365,True
effect_nrmse,cross,20000,4,4,390,390,48365,True
effect_nrmse,cross,24000,4,4,390,390,48365,True
effect_nrmse,cross,28000,4,4,390,390,48365,True
effect_nrmse,cross,32000,4,4,390,390,48365,True
effect_nrmse,cross,36000,4,4,390,390,48365,True
effect_nrmse,cross,40000,4,4,390,390,48365,True
effect_nrmse,train,0,3,3,390,388,50535,True
effect_nrmse,train,4000,3,3,390,388,50535,True
effect_nrmse,train,8000,3,3,390,388,50535,True
effect_nrmse,train,12000,3,3,390,388,50535,True
effect_nrmse,train,16000,3,3,390,388,50535,True
effect_nrmse,train,20000,3,3,390,388,50535,True
effect_nrmse,train,24000,3,3,390,388,50535,True
effect_nrmse,train,28000,3,3,390,388,50535,True
effect_nrmse,train,32000,3,3,390,388,50535,True
effect_nrmse,train,36000,3,3,390,388,50535,True
effect_nrmse,train,40000,3,3,390,388,50535,True
