objective,corpus,step,macro_stratum_mase,sample_weighted_mase,macro_stratum_effect_nrmse,mase_stratum_count,effect_stratum_count,treatment_count,effect_candidate_count,effect_scored_count,observed_effect_cell_count
paired_effect_squared_nrmse_random_with_replacement,cross,0,0.9488962161137494,1.2843388321377014,0.4593690301366515,390,390,48365,48365,48268,2601216
paired_effect_squared_nrmse_random_with_replacement,cross,4000,1.0858672363783235,1.5089991720840545,0.4247237567775169,390,390,48365,48365,48268,2601216
paired_effect_squared_nrmse_random_with_replacement,cross,8000,1.0782137300433587,1.502977231206241,0.4405032569228425,390,390,48365,48365,48268,2601216
paired_effect_squared_nrmse_random_with_replacement,cross,12000,1.091469314274968,1.5240640062282234,0.4309307510625943,390,390,48365,48365,48268,2601216
paired_effect_squared_nrmse_random_with_replacement,cross,16000,1.1207475519941732,1.573595556829568,0.4262116928163782,390,390,48365,48365,48268,2601216
paired_effect_squared_nrmse_random_with_replacement,cross,20000,1.1201188971266818,1.5718183110131707,0.39556613424896575,390,390,48365,48365,48268,2601216
paired_effect_squared_nrmse_random_with_replacement,cross,24000,1.1373995485976605,1.5961485913524864,0.3863638703524719,390,390,48365,48365,48268,2601216
paired_effect_squared_nrmse_random_with_replacement,cross,28000,1.14240219047555,1.6036073359669545,0.38519017643785547,390,390,48365,48365,48268,2601216
paired_effect_squared_nrmse_random_with_replacement,cross,32000,1.134833164889621,1.5921355951651026,0.387982617109725,390,390,48365,48365,48268,2601216
paired_effect_squared_nrmse_random_with_replacement,cross,36000,1.1345078468097758,1.5934217061988665,0.38633829980624573,390,390,48365,48365,48268,2601216
paired_effect_squared_nrmse_random_with_replacement,cross,40000,1.1378586437967384,1.6000625139221072,0.38870336308530684,390,390,48365,48365,48268,2601216
paired_effect_squared_nrmse_random_with_replacement,train,0,1.019933492515609,1.3420561732622303,0.4636874988436824,390,388,50535,50535,50406,2734560
paired_effect_squared_nrmse_random_with_replacement,train,4000,1.1889007997137149,1.5583813781087694,0.37463049998809633,390,388,50535,50535,50406,2734560
paired_effect_squared_nrmse_random_with_replacement,train,8000,1.1752844296114813,1.5480860186462673,0.35358345092645543,390,388,50535,50535,50406,2734560
paired_effect_squared_nrmse_random_with_replacement,train,12000,1.1854634556008243,1.5630565575783728,0.34931181581355314,390,388,50535,50535,50406,2734560
paired_effect_squared_nrmse_random_with_replacement,train,16000,1.2182064409626794,1.608405471277405,0.34847450203220415,390,388,50535,50535,50406,2734560
paired_effect_squared_nrmse_random_with_replacement,train,20000,1.2140202303040586,1.5992975095534827,0.34959487415983626,390,388,50535,50535,50406,2734560
paired_effect_squared_nrmse_random_with_replacement,train,24000,1.233056415949205,1.6212116629021893,0.3468067019978512,390,388,50535,50535,50406,2734560
paired_effect_squared_nrmse_random_with_replacement,train,28000,1.2392290819409506,1.6280474427589977,0.3487505794594826,390,388,50535,50535,50406,2734560
paired_effect_squared_nrmse_random_with_replacement,train,32000,1.2314980415351875,1.6168182709834293,0.34434198975399216,390,388,50535,50535,50406,2734560
paired_effect_squared_nrmse_random_with_replacement,train,36000,1.2315006126854442,1.6173634122260852,0.344063418888624,390,388,50535,50535,50406,2734560
paired_effect_squared_nrmse_random_with_replacement,train,40000,1.2356737418449482,1.6238912603662345,0.34471673621743615,390,388,50535,50535,50406,2734560
