suite,capability_id,suite_task_count,available_task_count,task_coverage,official_instance_count,available_instance_count,available_instance_share_of_all_official,candidate_treatment_count,scored_treatment_count,low_signal_treatment_count,unobserved_effect_treatment_count,effect_scoring_coverage
GIFT-Short,trend,20,18,0.9,120784,57204,0.4736057756,286020,286020,0,0,1
GIFT-Short,regime_switching,20,20,1,120784,120783,0.9999917208,603915,603915,0,0,1
GIFT-Short,common_factor,20,4,0.2,120784,65,0.0005381507484,325,318,7,0,0.9784615385
GIFT-Short,covariate_impulse_response,20,6,0.3,120784,4296,0.03556762485,21480,21480,0,0,1
GIFT-Short,time_varying_seasonality,20,19,0.95,120784,105117,0.8702891111,525585,524241,1344,0,0.9974428494
GIFT-Short,multi_seasonal,20,20,1,120784,120784,1,603920,603741,179,0,0.9997036031
GIFT-Short,predictable_intermittency,20,20,1,120784,120784,1,603920,603920,0,0,1
GIFT-Short,cross_series_dependence,20,8,0.4,120784,3538,0.0292919592,17690,16888,802,0,0.9546636518
GIFT-Medium,trend,11,9,0.8181818182,4077,1983,0.4863870493,9915,9915,0,0,1
GIFT-Medium,regime_switching,11,11,1,4077,4077,1,20385,20385,0,0,1
GIFT-Medium,common_factor,11,4,0.3636363636,4077,11,0.002698062301,55,55,0,0,1
GIFT-Medium,covariate_impulse_response,11,4,0.3636363636,4077,165,0.04047093451,825,825,0,0,1
GIFT-Medium,time_varying_seasonality,11,10,0.9090909091,4077,2519,0.6178562669,12595,12595,0,0,1
GIFT-Medium,multi_seasonal,11,11,1,4077,4077,1,20385,20385,0,0,1
GIFT-Medium,predictable_intermittency,11,11,1,4077,1325,0.324993868,6625,6625,0,0,1
GIFT-Medium,cross_series_dependence,11,6,0.5454545455,4077,42,0.01030169242,210,210,0,0,1
GIFT-Long,trend,11,10,0.9090909091,2902,1237,0.4262577533,6185,6185,0,0,1
GIFT-Long,regime_switching,11,11,1,2902,2902,1,14510,14510,0,0,1
GIFT-Long,common_factor,11,4,0.3636363636,2902,9,0.003101309442,45,45,0,0,1
GIFT-Long,covariate_impulse_response,11,3,0.2727272727,2902,112,0.03859407305,560,560,0,0,1
GIFT-Long,time_varying_seasonality,11,10,0.9090909091,2902,1612,0.55547898,8060,8060,0,0,1
GIFT-Long,multi_seasonal,11,11,1,2902,2902,1,14510,14510,0,0,1
GIFT-Long,predictable_intermittency,11,11,1,2902,1219,0.4200551344,6095,6095,0,0,1
GIFT-Long,cross_series_dependence,11,6,0.5454545455,2902,25,0.008614748449,125,125,0,0,1
FEV-Mini20,trend,20,18,0.9,23062,11779,0.5107536207,58895,56955,0,1940,0.9670600221
FEV-Mini20,regime_switching,20,20,1,23062,20798,0.90182985,103990,101290,0,2700,0.974035965
FEV-Mini20,common_factor,20,9,0.45,23062,280,0.01214118463,1400,1395,5,0,0.9964285714
FEV-Mini20,covariate_impulse_response,20,8,0.4,23062,17495,0.7586072327,87475,87475,0,0,1
FEV-Mini20,time_varying_seasonality,20,20,1,23062,19363,0.8396062787,96815,96668,147,0,0.9984816402
FEV-Mini20,multi_seasonal,20,20,1,23062,22276,0.9659179603,111380,108460,220,2700,0.9737834441
FEV-Mini20,predictable_intermittency,20,18,0.9,23062,20443,0.8864365623,102215,102215,0,0,1
FEV-Mini20,cross_series_dependence,20,9,0.45,23062,280,0.01214118463,1400,1358,42,0,0.97
