suite,benchmark,horizon_group,capability_id,capability_level,model_mean_effect_nrmse,model_median_effect_nrmse,model_count,task_count,task_coverage
FEV-Mini20,FEV-Bench,native,common_factor,1,0.4084208306,0.4020200993,7,9,0.45
FEV-Mini20,FEV-Bench,native,common_factor,2,0.3716504001,0.3575791417,7,9,0.45
FEV-Mini20,FEV-Bench,native,common_factor,3,0.3219761316,0.2969674038,7,9,0.45
FEV-Mini20,FEV-Bench,native,common_factor,4,0.2735344005,0.2562837834,7,9,0.45
FEV-Mini20,FEV-Bench,native,common_factor,5,0.2349955078,0.2220330099,7,9,0.45
FEV-Mini20,FEV-Bench,native,covariate_impulse_response,1,0.8208071485,0.7347157875,7,8,0.4
FEV-Mini20,FEV-Bench,native,covariate_impulse_response,2,0.7348386363,0.6992180528,7,8,0.4
FEV-Mini20,FEV-Bench,native,covariate_impulse_response,3,0.6826561335,0.646795825,7,8,0.4
FEV-Mini20,FEV-Bench,native,covariate_impulse_response,4,0.6352493885,0.6133628947,7,8,0.4
FEV-Mini20,FEV-Bench,native,covariate_impulse_response,5,0.5887054374,0.5788864748,7,8,0.4
FEV-Mini20,FEV-Bench,native,cross_series_dependence,1,0.6375580393,0.6502074464,7,9,0.45
FEV-Mini20,FEV-Bench,native,cross_series_dependence,2,0.7557745135,0.7603263679,7,9,0.45
FEV-Mini20,FEV-Bench,native,cross_series_dependence,3,0.7775975859,0.7741808636,7,9,0.45
FEV-Mini20,FEV-Bench,native,cross_series_dependence,4,0.8216050092,0.809532789,7,9,0.45
FEV-Mini20,FEV-Bench,native,cross_series_dependence,5,0.8336440961,0.8181809473,7,9,0.45
FEV-Mini20,FEV-Bench,native,multi_seasonal,1,0.9658704056,1.029631163,7,20,1
FEV-Mini20,FEV-Bench,native,multi_seasonal,2,1.052281558,1.109007758,7,20,1
FEV-Mini20,FEV-Bench,native,multi_seasonal,3,1.112478126,1.170675195,7,20,1
FEV-Mini20,FEV-Bench,native,multi_seasonal,4,1.144519323,1.190195273,7,20,1
FEV-Mini20,FEV-Bench,native,multi_seasonal,5,1.168816829,1.215127075,7,20,1
FEV-Mini20,FEV-Bench,native,predictable_intermittency,1,0.6644751458,0.6151543513,7,18,0.9
FEV-Mini20,FEV-Bench,native,predictable_intermittency,2,0.8621656155,0.8237928301,7,18,0.9
FEV-Mini20,FEV-Bench,native,predictable_intermittency,3,1.012387316,0.9843146043,7,18,0.9
FEV-Mini20,FEV-Bench,native,predictable_intermittency,4,1.051257,1.025863052,7,18,0.9
FEV-Mini20,FEV-Bench,native,predictable_intermittency,5,1.203974888,1.141307401,7,18,0.9
FEV-Mini20,FEV-Bench,native,regime_switching,1,0.1007006852,0.08978027355,7,20,1
FEV-Mini20,FEV-Bench,native,regime_switching,2,0.1185424042,0.105849633,7,20,1
FEV-Mini20,FEV-Bench,native,regime_switching,3,0.1285639748,0.1228253152,7,20,1
FEV-Mini20,FEV-Bench,native,regime_switching,4,0.1564828838,0.1490398673,7,20,1
FEV-Mini20,FEV-Bench,native,regime_switching,5,0.2282134807,0.2115999135,7,20,1
FEV-Mini20,FEV-Bench,native,time_varying_seasonality,1,0.9542215443,0.9436379083,7,20,1
FEV-Mini20,FEV-Bench,native,time_varying_seasonality,2,0.8605538975,0.8562067392,7,20,1
FEV-Mini20,FEV-Bench,native,time_varying_seasonality,3,0.7696105644,0.7976568127,7,20,1
FEV-Mini20,FEV-Bench,native,time_varying_seasonality,4,0.6787497539,0.707874244,7,20,1
FEV-Mini20,FEV-Bench,native,time_varying_seasonality,5,0.5945987711,0.6223780115,7,20,1
FEV-Mini20,FEV-Bench,native,trend,1,0.1849154748,0.1685563855,7,18,0.9
FEV-Mini20,FEV-Bench,native,trend,2,0.1638317064,0.1455986991,7,18,0.9
FEV-Mini20,FEV-Bench,native,trend,3,0.1454346563,0.126551784,7,18,0.9
FEV-Mini20,FEV-Bench,native,trend,4,0.1291489198,0.1204549082,7,18,0.9
FEV-Mini20,FEV-Bench,native,trend,5,0.1131670867,0.1047895412,7,18,0.9
GIFT-Long,GIFT-Eval,long,common_factor,1,0.8946000044,0.8538324041,6,4,0.3636363636
GIFT-Long,GIFT-Eval,long,common_factor,2,0.8254208462,0.7963214544,6,4,0.3636363636
GIFT-Long,GIFT-Eval,long,common_factor,3,0.7382181993,0.7531896436,6,4,0.3636363636
GIFT-Long,GIFT-Eval,long,common_factor,4,0.6273880395,0.6704060497,6,4,0.3636363636
GIFT-Long,GIFT-Eval,long,common_factor,5,0.5831956927,0.626816671,6,4,0.3636363636
GIFT-Long,GIFT-Eval,long,covariate_impulse_response,1,0.7038898333,0.5572287086,6,3,0.2727272727
GIFT-Long,GIFT-Eval,long,covariate_impulse_response,2,0.5782005144,0.5366361844,6,3,0.2727272727
GIFT-Long,GIFT-Eval,long,covariate_impulse_response,3,0.5230521827,0.5189473548,6,3,0.2727272727
GIFT-Long,GIFT-Eval,long,covariate_impulse_response,4,0.4735085979,0.5136886917,6,3,0.2727272727
GIFT-Long,GIFT-Eval,long,covariate_impulse_response,5,0.425562238,0.4611291592,6,3,0.2727272727
GIFT-Long,GIFT-Eval,long,cross_series_dependence,1,1.076504931,1.011136978,6,6,0.5454545455
GIFT-Long,GIFT-Eval,long,cross_series_dependence,2,1.053173243,1.019276524,6,6,0.5454545455
GIFT-Long,GIFT-Eval,long,cross_series_dependence,3,1.047432732,1.00924956,6,6,0.5454545455
GIFT-Long,GIFT-Eval,long,cross_series_dependence,4,1.022057802,0.9941806421,6,6,0.5454545455
GIFT-Long,GIFT-Eval,long,cross_series_dependence,5,1.014219076,0.9778201083,6,6,0.5454545455
GIFT-Long,GIFT-Eval,long,multi_seasonal,1,0.9976000252,0.8795558621,6,11,1
GIFT-Long,GIFT-Eval,long,multi_seasonal,2,1.05653341,0.9597804745,6,11,1
GIFT-Long,GIFT-Eval,long,multi_seasonal,3,1.145478483,1.021932851,6,11,1
GIFT-Long,GIFT-Eval,long,multi_seasonal,4,1.174420323,1.069585111,6,11,1
GIFT-Long,GIFT-Eval,long,multi_seasonal,5,1.207164874,1.098247775,6,11,1
GIFT-Long,GIFT-Eval,long,predictable_intermittency,1,1.184422342,1.076401975,6,11,1
GIFT-Long,GIFT-Eval,long,predictable_intermittency,2,1.282115146,1.128108572,6,11,1
GIFT-Long,GIFT-Eval,long,predictable_intermittency,3,1.15802179,1.144046983,6,11,1
GIFT-Long,GIFT-Eval,long,predictable_intermittency,4,1.241960078,1.178417887,6,11,1
GIFT-Long,GIFT-Eval,long,predictable_intermittency,5,1.265855131,1.214064563,6,11,1
GIFT-Long,GIFT-Eval,long,regime_switching,1,0.08568665517,0.0718578334,6,11,1
GIFT-Long,GIFT-Eval,long,regime_switching,2,0.105436421,0.0854105345,6,11,1
GIFT-Long,GIFT-Eval,long,regime_switching,3,0.1719998469,0.143724859,6,11,1
GIFT-Long,GIFT-Eval,long,regime_switching,4,0.2403318479,0.1907613334,6,11,1
GIFT-Long,GIFT-Eval,long,regime_switching,5,0.2925550521,0.2747577129,6,11,1
GIFT-Long,GIFT-Eval,long,time_varying_seasonality,1,1.278502956,1.222503274,6,10,0.9090909091
GIFT-Long,GIFT-Eval,long,time_varying_seasonality,2,1.16719191,1.205342453,6,10,0.9090909091
GIFT-Long,GIFT-Eval,long,time_varying_seasonality,3,1.079759012,1.105406244,6,10,0.9090909091
GIFT-Long,GIFT-Eval,long,time_varying_seasonality,4,0.9767676954,0.9856930582,6,10,0.9090909091
GIFT-Long,GIFT-Eval,long,time_varying_seasonality,5,0.8935560017,0.889066083,6,10,0.9090909091
GIFT-Long,GIFT-Eval,long,trend,1,0.2092709129,0.203089306,6,10,0.9090909091
GIFT-Long,GIFT-Eval,long,trend,2,0.182475075,0.1827845775,6,10,0.9090909091
GIFT-Long,GIFT-Eval,long,trend,3,0.1588064153,0.1618219655,6,10,0.9090909091
GIFT-Long,GIFT-Eval,long,trend,4,0.1421840479,0.150072856,6,10,0.9090909091
GIFT-Long,GIFT-Eval,long,trend,5,0.1286111734,0.1353146128,6,10,0.9090909091
GIFT-Medium,GIFT-Eval,medium,common_factor,1,0.5288760059,0.5639492872,6,4,0.3636363636
GIFT-Medium,GIFT-Eval,medium,common_factor,2,0.5180043564,0.5656663637,6,4,0.3636363636
GIFT-Medium,GIFT-Eval,medium,common_factor,3,0.4622412579,0.506349522,6,4,0.3636363636
GIFT-Medium,GIFT-Eval,medium,common_factor,4,0.4138960912,0.4516866161,6,4,0.3636363636
GIFT-Medium,GIFT-Eval,medium,common_factor,5,0.3692743441,0.4044208715,6,4,0.3636363636
GIFT-Medium,GIFT-Eval,medium,covariate_impulse_response,1,0.6051956323,0.6042451876,6,4,0.3636363636
GIFT-Medium,GIFT-Eval,medium,covariate_impulse_response,2,0.5184129155,0.5215452995,6,4,0.3636363636
GIFT-Medium,GIFT-Eval,medium,covariate_impulse_response,3,0.4593014828,0.4644507011,6,4,0.3636363636
GIFT-Medium,GIFT-Eval,medium,covariate_impulse_response,4,0.4112378803,0.4073679011,6,4,0.3636363636
GIFT-Medium,GIFT-Eval,medium,covariate_impulse_response,5,0.3821677345,0.3862855961,6,4,0.3636363636
GIFT-Medium,GIFT-Eval,medium,cross_series_dependence,1,1.079581676,1.085852078,6,6,0.5454545455
GIFT-Medium,GIFT-Eval,medium,cross_series_dependence,2,1.090633215,1.095052607,6,6,0.5454545455
GIFT-Medium,GIFT-Eval,medium,cross_series_dependence,3,1.081803979,1.060159737,6,6,0.5454545455
GIFT-Medium,GIFT-Eval,medium,cross_series_dependence,4,1.075117142,1.039946915,6,6,0.5454545455
GIFT-Medium,GIFT-Eval,medium,cross_series_dependence,5,1.09657092,1.088856354,6,6,0.5454545455
GIFT-Medium,GIFT-Eval,medium,multi_seasonal,1,1.09030917,0.9608135206,6,11,1
GIFT-Medium,GIFT-Eval,medium,multi_seasonal,2,1.178262009,1.094711656,6,11,1
GIFT-Medium,GIFT-Eval,medium,multi_seasonal,3,1.204641788,1.14626398,6,11,1
GIFT-Medium,GIFT-Eval,medium,multi_seasonal,4,1.258746851,1.212111139,6,11,1
GIFT-Medium,GIFT-Eval,medium,multi_seasonal,5,1.260282459,1.181621641,6,11,1
GIFT-Medium,GIFT-Eval,medium,predictable_intermittency,1,1.216587551,1.197536485,6,11,1
GIFT-Medium,GIFT-Eval,medium,predictable_intermittency,2,1.381047348,1.290282911,6,11,1
GIFT-Medium,GIFT-Eval,medium,predictable_intermittency,3,1.394262807,1.379123079,6,11,1
GIFT-Medium,GIFT-Eval,medium,predictable_intermittency,4,1.554589725,1.499029685,6,11,1
GIFT-Medium,GIFT-Eval,medium,predictable_intermittency,5,1.472246515,1.447707754,6,11,1
GIFT-Medium,GIFT-Eval,medium,regime_switching,1,0.08524142962,0.08019768557,6,11,1
GIFT-Medium,GIFT-Eval,medium,regime_switching,2,0.1013994437,0.08226938834,6,11,1
GIFT-Medium,GIFT-Eval,medium,regime_switching,3,0.1522159933,0.1410014328,6,11,1
GIFT-Medium,GIFT-Eval,medium,regime_switching,4,0.2039876789,0.2017872381,6,11,1
GIFT-Medium,GIFT-Eval,medium,regime_switching,5,0.2500179885,0.2576013922,6,11,1
GIFT-Medium,GIFT-Eval,medium,time_varying_seasonality,1,1.394924357,1.369620414,6,10,0.9090909091
GIFT-Medium,GIFT-Eval,medium,time_varying_seasonality,2,1.21171863,1.169042888,6,10,0.9090909091
GIFT-Medium,GIFT-Eval,medium,time_varying_seasonality,3,1.10729638,1.031370591,6,10,0.9090909091
GIFT-Medium,GIFT-Eval,medium,time_varying_seasonality,4,0.9703096758,0.8927951417,6,10,0.9090909091
GIFT-Medium,GIFT-Eval,medium,time_varying_seasonality,5,0.8742857373,0.7748261208,6,10,0.9090909091
GIFT-Medium,GIFT-Eval,medium,trend,1,0.4011840406,0.3434736114,6,9,0.8181818182
GIFT-Medium,GIFT-Eval,medium,trend,2,0.3094250687,0.3033884846,6,9,0.8181818182
GIFT-Medium,GIFT-Eval,medium,trend,3,0.2495566594,0.2467762994,6,9,0.8181818182
GIFT-Medium,GIFT-Eval,medium,trend,4,0.2061378748,0.2051747842,6,9,0.8181818182
GIFT-Medium,GIFT-Eval,medium,trend,5,0.1719989279,0.1669331751,6,9,0.8181818182
GIFT-Short,GIFT-Eval,short,common_factor,1,0.3966325501,0.3988030803,7,4,0.2
GIFT-Short,GIFT-Eval,short,common_factor,2,0.3532106034,0.3508966259,7,4,0.2
GIFT-Short,GIFT-Eval,short,common_factor,3,0.3036807502,0.2962108039,7,4,0.2
GIFT-Short,GIFT-Eval,short,common_factor,4,0.2567560337,0.2486539666,7,4,0.2
GIFT-Short,GIFT-Eval,short,common_factor,5,0.2134207069,0.21352702,7,4,0.2
GIFT-Short,GIFT-Eval,short,covariate_impulse_response,1,1.032769165,0.8460903665,7,6,0.3
GIFT-Short,GIFT-Eval,short,covariate_impulse_response,2,0.7916147999,0.7471578138,7,6,0.3
GIFT-Short,GIFT-Eval,short,covariate_impulse_response,3,0.6106556039,0.5853828979,7,6,0.3
GIFT-Short,GIFT-Eval,short,covariate_impulse_response,4,0.4858477711,0.4768683316,7,6,0.3
GIFT-Short,GIFT-Eval,short,covariate_impulse_response,5,0.3874083189,0.338448272,7,6,0.3
GIFT-Short,GIFT-Eval,short,cross_series_dependence,1,1.021109919,0.8903682326,7,8,0.4
GIFT-Short,GIFT-Eval,short,cross_series_dependence,2,1.090092232,1.002532617,7,8,0.4
GIFT-Short,GIFT-Eval,short,cross_series_dependence,3,1.1644908,1.119986401,7,8,0.4
GIFT-Short,GIFT-Eval,short,cross_series_dependence,4,1.146162556,1.099506765,7,8,0.4
GIFT-Short,GIFT-Eval,short,cross_series_dependence,5,1.126835532,1.090057028,7,8,0.4
GIFT-Short,GIFT-Eval,short,multi_seasonal,1,0.748589843,0.7745019733,7,20,1
GIFT-Short,GIFT-Eval,short,multi_seasonal,2,0.8023505463,0.7912404593,7,20,1
GIFT-Short,GIFT-Eval,short,multi_seasonal,3,0.852881803,0.8495302149,7,20,1
GIFT-Short,GIFT-Eval,short,multi_seasonal,4,0.8987460056,0.906101717,7,20,1
GIFT-Short,GIFT-Eval,short,multi_seasonal,5,0.9314572427,0.9457636996,7,20,1
GIFT-Short,GIFT-Eval,short,predictable_intermittency,1,0.5858585438,0.5737458843,7,20,1
GIFT-Short,GIFT-Eval,short,predictable_intermittency,2,0.8519880578,0.8370651591,7,20,1
GIFT-Short,GIFT-Eval,short,predictable_intermittency,3,0.9828638662,0.9814518268,7,20,1
GIFT-Short,GIFT-Eval,short,predictable_intermittency,4,1.041848455,1.053719725,7,20,1
GIFT-Short,GIFT-Eval,short,predictable_intermittency,5,1.164398181,1.123578715,7,20,1
GIFT-Short,GIFT-Eval,short,regime_switching,1,0.07697665049,0.07625196161,7,20,1
GIFT-Short,GIFT-Eval,short,regime_switching,2,0.0911558021,0.1006509044,7,20,1
GIFT-Short,GIFT-Eval,short,regime_switching,3,0.1036706207,0.1086090121,7,20,1
GIFT-Short,GIFT-Eval,short,regime_switching,4,0.1216002654,0.1167573788,7,20,1
GIFT-Short,GIFT-Eval,short,regime_switching,5,0.169598709,0.1763738567,7,20,1
GIFT-Short,GIFT-Eval,short,time_varying_seasonality,1,0.8318200715,0.8356867776,7,19,0.95
GIFT-Short,GIFT-Eval,short,time_varying_seasonality,2,0.7006997215,0.7131169331,7,19,0.95
GIFT-Short,GIFT-Eval,short,time_varying_seasonality,3,0.6301964121,0.6438663047,7,19,0.95
GIFT-Short,GIFT-Eval,short,time_varying_seasonality,4,0.5328809057,0.5417847962,7,19,0.95
GIFT-Short,GIFT-Eval,short,time_varying_seasonality,5,0.4459273966,0.444937896,7,19,0.95
GIFT-Short,GIFT-Eval,short,trend,1,0.3069450567,0.3169726495,7,18,0.9
GIFT-Short,GIFT-Eval,short,trend,2,0.2587192417,0.2676918263,7,18,0.9
GIFT-Short,GIFT-Eval,short,trend,3,0.2182331287,0.2159469379,7,18,0.9
GIFT-Short,GIFT-Eval,short,trend,4,0.1781183251,0.1869480211,7,18,0.9
GIFT-Short,GIFT-Eval,short,trend,5,0.149703331,0.1659501431,7,18,0.9
