suite,benchmark,horizon_group,model_id,capability_id,capability_level,task_equal_effect_nrmse,task_equal_effect_correlation,task_equal_effect_amplitude_ratio,task_equal_scoring_coverage,task_count
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,1,0.3850458963,0.8674601054,1.081562834,0.9833333333,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,1,0.4744907939,0.8176247789,1.071951505,0.9833333333,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,common_factor,1,0.4131059838,0.8411479565,1.067445737,0.9833333333,9
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,1,0.4397994305,0.8436662927,1.08527722,0.9833333333,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,1,0.3880543857,0.846735917,1.041429241,0.9833333333,9
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,1,0.3564292246,0.8477889376,1.041958288,0.9833333333,9
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,1,0.4020200993,0.8446252569,1.065390143,0.9833333333,9
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,2,0.3479057431,0.8868723743,1.075212895,0.9888888889,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,2,0.406513182,0.8419588384,1.060486528,0.9888888889,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,common_factor,2,0.3876738819,0.8600247801,1.066923466,0.9888888889,9
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,2,0.4258443538,0.8481724192,1.085263823,0.9888888889,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,2,0.3471286599,0.8625547803,1.03273725,0.9888888889,9
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,2,0.3289078385,0.8642001955,1.037308951,0.9888888889,9
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,2,0.3575791417,0.8678258191,1.048686069,0.9888888889,9
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,3,0.2837163386,0.9052924185,1.042873637,1,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,3,0.3516485519,0.8599249967,1.04913865,1,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,common_factor,3,0.3540507536,0.8751085334,1.063098188,1,9
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,3,0.3869645201,0.8528578886,1.082737523,1,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,3,0.2969674038,0.8796626428,1.020332691,1,9
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,3,0.2917386126,0.8812805391,1.032283101,1,9
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,3,0.2887467407,0.8881694448,1.024611073,1,9
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,4,0.2272068584,0.927326187,1.016505043,1,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,4,0.2988413931,0.8752012879,1.030754602,1,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,common_factor,4,0.3003664225,0.8928618156,1.044225319,1,9
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,4,0.3441515387,0.8686608688,1.079520328,1,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,4,0.2537060907,0.8981378133,1.014506552,1,9
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,4,0.2562837834,0.8973077889,1.023768682,1,9
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,4,0.2341847164,0.9077524535,1.014084364,1,9
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,5,0.1870904102,0.9450359146,1.003432163,1,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,5,0.2632213185,0.8884990478,1.021041469,1,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,common_factor,5,0.2551994808,0.9122248179,1.029340519,1,9
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,5,0.3044449704,0.8821501468,1.06951583,1,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,5,0.2196561653,0.9213586042,1.011913839,1,9
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,5,0.2220330099,0.9124229305,1.015310486,1,9
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,5,0.1933231996,0.9278513004,1.010027527,1,9
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,1,0.8709707646,0.1766155285,0.9242674731,1,8
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,1,0.725777726,0.1255934081,0.6973830434,1,8
FEV-Mini20,FEV-Bench,native,Timer-4.0,covariate_impulse_response,1,1.070131496,0.1353615308,1.032863553,1,8
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,1,0.7347157875,0.08271092186,0.6768738188,1,8
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,1,0.9682570563,0.2086269835,0.9877969269,1,8
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,1,0.7341463442,0.150561668,0.78052007,1,8
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,1,0.6416508648,0.2876539653,0.7390515061,1,8
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,2,0.814830029,0.2363945757,0.9179118203,1,8
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,2,0.6813312042,0.1549430578,0.6982395745,1,8
FEV-Mini20,FEV-Bench,native,Timer-4.0,covariate_impulse_response,2,0.9519205172,0.1675507657,0.9435708619,1,8
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,2,0.6992180528,0.1340217904,0.6599595172,1,8
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,2,0.7310488935,0.2576083398,0.7961956782,1,8
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,2,0.6802522086,0.2136114248,0.801569441,1,8
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,2,0.5852695489,0.3253374048,0.7277137289,1,8
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,3,0.7791575452,0.2825564348,0.906713502,1,8
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,3,0.6424314883,0.2084444174,0.6928059231,1,8
FEV-Mini20,FEV-Bench,native,Timer-4.0,covariate_impulse_response,3,0.8555877547,0.2038596445,0.888848082,1,8
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,3,0.6726058023,0.1823684038,0.6598316879,1,8
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,3,0.6431794735,0.3058923377,0.7523836223,1,8
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,3,0.646795825,0.2557079203,0.8139378942,1,8
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,3,0.5388350451,0.3533346909,0.7258696545,1,8
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,4,0.7360856571,0.3323061516,0.8952510319,1,8
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,4,0.6012425024,0.2720049551,0.6931662788,1,8
FEV-Mini20,FEV-Bench,native,Timer-4.0,covariate_impulse_response,4,0.7625536416,0.2575967746,0.8372446925,1,8
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,4,0.6482539147,0.2254683862,0.6646423521,1,8
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,4,0.5759541023,0.3487022598,0.7167210081,1,8
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,4,0.6133628947,0.2900342979,0.8119057635,1,8
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,4,0.5092930069,0.3984266253,0.7256761903,1,8
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,5,0.6806722003,0.3840362614,0.8732368661,1,8
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,5,0.5588135301,0.3271509609,0.6975522448,1,8
FEV-Mini20,FEV-Bench,native,Timer-4.0,covariate_impulse_response,5,0.6714875371,0.3100095905,0.7964219207,1,8
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,5,0.6176404583,0.2749674923,0.6770331752,1,8
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,5,0.5350112675,0.39499661,0.7057970289,1,8
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,5,0.5788864748,0.3338234533,0.8050189398,1,8
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,5,0.478426594,0.4405231669,0.7376108995,1,8
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,1,0.5792853116,0.1253071612,1.062848245,0.8861111111,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,1,0.7036272642,0.09156243341,1.122634432,0.8861111111,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,cross_series_dependence,1,0.6568483796,0.07825201351,1.087185091,0.8861111111,9
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,1,0.6237481526,0.1608918811,1.132839392,0.8861111111,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,1,0.6502074464,0.1004357196,1.064384799,0.8861111111,9
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,1,0.5891142747,0.1644605325,1.076595754,0.8861111111,9
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,1,0.660075446,0.1009730971,1.121762788,0.8861111111,9
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,2,0.7147041748,0.1450871502,1.170513192,0.9444444444,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,2,0.7818311059,0.1007471878,1.216412989,0.9444444444,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,cross_series_dependence,2,0.78602184,0.0783048793,1.191707171,0.9444444444,9
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,2,0.8049730653,0.144049405,1.261744298,0.9444444444,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,2,0.7603263679,0.1095766105,1.154746599,0.9444444444,9
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,2,0.7059387758,0.1588299603,1.163822025,0.9444444444,9
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,2,0.7366262648,0.1006328513,1.164967069,0.9444444444,9
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,3,0.7353966733,0.1600978895,1.19600942,0.9666666667,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,3,0.7873308796,0.1028145459,1.213741834,0.9666666667,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,cross_series_dependence,3,0.8149402491,0.07504273125,1.21896886,0.9666666667,9
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,3,0.846188561,0.1412726485,1.297260541,0.9666666667,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,3,0.7741808636,0.1051799166,1.172198642,0.9666666667,9
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,3,0.730167244,0.1651446585,1.183461166,0.9666666667,9
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,3,0.7549786306,0.09717325164,1.168276163,0.9666666667,9
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,4,0.77561063,0.1729261031,1.233105653,0.9833333333,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,4,0.8185296626,0.1106935502,1.243855988,0.9833333333,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,cross_series_dependence,4,0.8502460935,0.08739642884,1.250491535,0.9833333333,9
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,4,0.9246985213,0.1430252731,1.365940316,0.9833333333,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,4,0.809532789,0.09853758639,1.205147731,0.9833333333,9
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,4,0.7737976132,0.16896631,1.224266717,0.9833333333,9
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,4,0.7988197549,0.1034472735,1.204085816,0.9833333333,9
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,5,0.7855502975,0.18239018,1.251676957,0.9944444444,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,5,0.8181809473,0.1011022197,1.24493743,0.9944444444,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,cross_series_dependence,5,0.8446658202,0.09742246293,1.259034419,0.9944444444,9
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,5,0.9715294886,0.1432648211,1.414718442,0.9944444444,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,5,0.8204744188,0.09355386236,1.2227203,0.9944444444,9
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,5,0.7870672498,0.1762671215,1.240722892,0.9944444444,9
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,5,0.8080404505,0.1026652824,1.217640501,0.9944444444,9
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,1,1.055831267,0.6182784028,1.174759349,0.9965102225,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,1,1.029631163,0.5119058749,1.013069778,0.9965102225,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,1,1.107255297,0.5971796292,1.251494743,0.9965102225,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,1,1.128883998,0.4165827612,0.9467785019,0.9965102225,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,1,0.8364637191,0.6164778458,0.9084339094,0.9965102225,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,1,0.9145580553,0.6755857026,1.071875674,0.9965102225,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,1,0.6884693406,0.7796480262,1.071097719,0.9965102225,20
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,2,1.164134282,0.5434592651,1.173911323,0.9975329794,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,2,1.109007758,0.4320891094,0.9892069524,0.9975329794,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,2,1.221379983,0.5114310815,1.255063576,0.9975329794,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,2,1.194701805,0.3308802496,0.8948962343,0.9975329794,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,2,0.913941658,0.5403609741,0.8727423803,0.9975329794,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,2,1.004820738,0.5921063592,1.061327588,0.9975329794,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,2,0.7579846828,0.728750118,1.045508311,0.9975329794,20
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,3,1.229214046,0.4807459833,1.165678927,0.9973465115,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,3,1.170675195,0.3802058843,0.9744253746,0.9973465115,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,3,1.288408455,0.4516321123,1.250305074,0.9973465115,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,3,1.234241485,0.2727966411,0.8641127562,0.9973465115,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,3,0.9714822447,0.4806030259,0.8446259908,0.9973465115,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,3,1.06367207,0.5294953886,1.044201145,0.9973465115,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,3,0.8296533831,0.6822371273,1.041749522,0.9973465115,20
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,4,1.266026046,0.4273222597,1.140241879,0.9974704226,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,4,1.190195273,0.343096968,0.9506778889,0.9974704226,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,4,1.327091,0.4000921259,1.231587156,0.9974704226,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,4,1.246000786,0.2306277327,0.8316450979,0.9974704226,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,4,1.008255879,0.4388880457,0.8270719319,0.9974704226,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,4,1.101093769,0.4798174266,1.01054733,0.9974704226,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,4,0.872972509,0.6416380173,1.033251972,0.9974704226,20
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,5,1.293945924,0.3788854638,1.120136355,0.9974021787,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,5,1.215127075,0.305847554,0.9322811554,0.9974021787,20
