suite,benchmark,horizon_group,model_id,capability_id,capability_level,effect_nrmse_task_equal,effect_nrmse_ci_lower,effect_nrmse_ci_upper,task_count,suite_task_count,task_coverage,cell_rank,cell_winner
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,1,0.3564292246,0.2306753179,0.4880755779,9,20,0.45,1,True
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,1,0.3850458963,0.2004468935,0.6337706141,9,20,0.45,2,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,1,0.3880543857,0.2519822857,0.5266865744,9,20,0.45,3,False
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,1,0.4020200993,0.2317896296,0.5956013726,9,20,0.45,4,False
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,1,0.4397994305,0.2527170162,0.664669248,9,20,0.45,5,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,1,0.4744907939,0.3089228409,0.6401049116,9,20,0.45,6,False
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,2,0.3289078385,0.209490293,0.4531350796,9,20,0.45,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,2,0.3471286599,0.2245545443,0.4722670183,9,20,0.45,2,False
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,2,0.3479057431,0.1756239437,0.6057147834,9,20,0.45,3,False
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,2,0.3575791417,0.2083887359,0.5551792339,9,20,0.45,4,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,2,0.406513182,0.2610485648,0.5498726449,9,20,0.45,5,False
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,2,0.4258443538,0.2343920337,0.692647156,9,20,0.45,6,False
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,3,0.2837163386,0.1497169987,0.4787535644,9,20,0.45,1,True
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,3,0.2887467407,0.1748784995,0.4423789493,9,20,0.45,2,False
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,3,0.2917386126,0.1899498834,0.4080022981,9,20,0.45,3,False
