suite,benchmark,horizon_group,task_id,model_id,capability_id,capability_level,effect_nrmse_pooled,effect_scoring_coverage,effect_candidate_count,official_instance_count,effect_unavailable_low_signal_count,effect_unavailable_unobserved_count,effect_correlation_mean,effect_amplitude_ratio_pooled
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,covariate_impulse_response,1,1.271531789,1,2393,2393,0,0,0.4719718434,1.574050963
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,covariate_impulse_response,2,1.441244081,1,2393,2393,0,0,0.5492610276,1.711029015
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,covariate_impulse_response,3,1.080584846,1,2393,2393,0,0,0.6296588797,1.448762869
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,covariate_impulse_response,4,1.362716592,1,2393,2393,0,0,0.7111771419,1.654227072
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,covariate_impulse_response,5,1.304954191,1,2393,2393,0,0,0.7825863758,1.614117952
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,cross_series_dependence,1,1.084866627,0.8356164384,2336,1952,384,0,0.1636680528,1.439230286
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,cross_series_dependence,2,1.099125894,0.9413527397,2336,2199,137,0,0.171254172,1.444423529
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,cross_series_dependence,3,1.049350389,0.9794520548,2336,2288,48,0,0.1757986656,1.418587748
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,cross_series_dependence,4,1.108734055,0.991010274,2336,2315,21,0,0.1861791702,1.46831293
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,cross_series_dependence,5,1.128680837,0.9944349315,2336,2323,13,0,0.1969868959,1.488258413
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,multi_seasonal,1,3.200901102,1,2427,2427,0,0,0.6817185034,3.29742781
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,multi_seasonal,2,0.8463688505,1,2427,2427,0,0,0.5895182311,1.192323588
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,multi_seasonal,3,0.880548026,1,2427,2427,0,0,0.5180787384,1.194161093
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,multi_seasonal,4,1.354136268,1,2427,2427,0,0,0.4609819694,1.494411383
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,multi_seasonal,5,1.352966162,1,2427,2427,0,0,0.4101699041,1.423362523
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,predictable_intermittency,1,2.460943482,1,2427,2427,0,0,0.7536927655,2.479098659
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,predictable_intermittency,2,2.808150273,1,2427,2427,0,0,0.5755815159,2.789020755
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,predictable_intermittency,3,1.201157691,1,2427,2427,0,0,0.3734632564,1.06529712
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,predictable_intermittency,4,1.236835916,1,2427,2427,0,0,0.3133251541,1.130881572
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,predictable_intermittency,5,1.425016049,1,2427,2427,0,0,0.1135116643,1.062786303
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,regime_switching,1,0.1085471417,1,2427,2427,0,0,0.491121787,1.008916902
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,regime_switching,2,0.2491962514,1,2427,2427,0,0,0.4903895615,1.038081976
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,regime_switching,3,0.1539677542,1,2427,2427,0,0,0.489996787,1.006431356
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,regime_switching,4,0.2226189304,1,2427,2427,0,0,0.489233624,1.003691289
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,regime_switching,5,0.3512782636,1,2427,2427,0,0,0.4543227264,0.9418247977
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,time_varying_seasonality,1,1.873331906,0.9904897765,2103,2083,20,0,0.5473957677,1.943680043
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,time_varying_seasonality,2,1.209698577,1,2103,2103,0,0,0.6327143456,1.394945558
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,time_varying_seasonality,3,0.825174963,1,2103,2103,0,0,0.7115605916,1.144947613
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,time_varying_seasonality,4,0.605657491,1,2103,2103,0,0,0.778684879,1.058115891
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,time_varying_seasonality,5,0.4937758969,1,2103,2103,0,0,0.8313288978,1.04535314
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,trend,1,0.2085421946,1,865,865,0,0,0.3760363494,0.9856181156
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,trend,2,0.1737985021,1,865,865,0,0,0.4107328822,0.9735654517
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,trend,3,0.1476984689,1,865,865,0,0,0.4552313124,0.9751586892
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,trend,4,0.1456932003,1,865,865,0,0,0.5227871067,0.9774598928
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,trend,5,0.1545063004,1,865,865,0,0,0.5935711835,0.981550173
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,covariate_impulse_response,1,0.9276897778,1,2393,2393,0,0,0.3780352861,1.104156999
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,covariate_impulse_response,2,0.9275686623,1,2393,2393,0,0,0.4457755678,1.213372414
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,covariate_impulse_response,3,0.6710703579,1,2393,2393,0,0,0.5151996388,1.102144155
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,covariate_impulse_response,4,0.4773665548,1,2393,2393,0,0,0.5919144175,1.05574132
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,covariate_impulse_response,5,0.3557802388,1,2393,2393,0,0,0.669153471,1.020407604
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,cross_series_dependence,1,0.9066597446,0.8356164384,2336,1952,384,0,0.1351204828,1.243621706
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,cross_series_dependence,2,1.030240072,0.9413527397,2336,2199,137,0,0.1563195338,1.357022396
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,cross_series_dependence,3,0.9771397001,0.9794520548,2336,2288,48,0,0.1622553224,1.318133358
