suite,left_model_id,right_model_id,mean_difference_left_minus_right,paired_stratified_task_bootstrap_95_ci_lower,paired_stratified_task_bootstrap_95_ci_upper,significant_uncorrected,better_model_id,bootstrap_repetitions,derived_display_metric
FEV-Mini20,Chronos-2,Timer-4.0,-0.06597248962,-0.1198001469,-0.0187080014,True,Chronos-2,20000,True
FEV-Mini20,Chronos-2,Timer-3.5,0.01612952586,-0.04484420012,0.08233621933,False,,20000,True
FEV-Mini20,Chronos-2,timesfm2.5,0.0724796234,0.01884147161,0.1329996123,True,timesfm2.5,20000,True
FEV-Mini20,Chronos-2,tirex2,0.05770077812,0.02340288041,0.09784248992,True,tirex2,20000,True
FEV-Mini20,Chronos-2,moirai2,-0.004269672146,-0.07848337685,0.07187428344,False,,20000,True
FEV-Mini20,Chronos-2,toto2.0,0.1203099373,0.06869224505,0.1800406964,True,toto2.0,20000,True
FEV-Mini20,Timer-4.0,Timer-3.5,0.08210201547,0.03150405663,0.1375448348,True,Timer-3.5,20000,True
FEV-Mini20,Timer-4.0,timesfm2.5,0.138452113,0.07994239681,0.2045227769,True,timesfm2.5,20000,True
FEV-Mini20,Timer-4.0,tirex2,0.1236732677,0.07452818304,0.1818889408,True,tirex2,20000,True
FEV-Mini20,Timer-4.0,moirai2,0.06170281747,0.005997573995,0.1213420591,True,moirai2,20000,True
FEV-Mini20,Timer-4.0,toto2.0,0.1862824269,0.1272091493,0.2520185081,True,toto2.0,20000,True
FEV-Mini20,Timer-3.5,timesfm2.5,0.05635009754,0.0227476319,0.08978660798,True,timesfm2.5,20000,True
FEV-Mini20,Timer-3.5,tirex2,0.04157125226,-0.004270749311,0.08700730385,False,,20000,True
FEV-Mini20,Timer-3.5,moirai2,-0.020399198,-0.05247054629,0.008747049202,False,,20000,True
FEV-Mini20,Timer-3.5,toto2.0,0.1041804114,0.07534958253,0.1381247903,True,toto2.0,20000,True
FEV-Mini20,timesfm2.5,tirex2,-0.01477884528,-0.05803478113,0.02289560365,False,,20000,True
FEV-Mini20,timesfm2.5,moirai2,-0.07674929555,-0.132249201,-0.02550431163,True,timesfm2.5,20000,True
FEV-Mini20,timesfm2.5,toto2.0,0.04783031388,0.02033901504,0.07811171655,True,toto2.0,20000,True
FEV-Mini20,tirex2,moirai2,-0.06197045026,-0.1273517353,-0.001216432642,True,tirex2,20000,True
FEV-Mini20,tirex2,toto2.0,0.06260915917,0.0298437385,0.1003753576,True,toto2.0,20000,True
FEV-Mini20,moirai2,toto2.0,0.1245796094,0.08241931194,0.1770455149,True,toto2.0,20000,True
GIFT-Long,Chronos-2,Timer-4.0,-0.1671074706,-0.2208311246,-0.115459292,True,Chronos-2,20000,True
GIFT-Long,Chronos-2,Timer-3.5,-0.1967151326,-0.2630858648,-0.140371388,True,Chronos-2,20000,True
GIFT-Long,Chronos-2,timesfm2.5,-0.0953754749,-0.134458653,-0.0575226562,True,Chronos-2,20000,True
GIFT-Long,Chronos-2,moirai2,-0.376981435,-0.5500168014,-0.2400890421,True,Chronos-2,20000,True
GIFT-Long,Chronos-2,toto2.0,-0.2551722452,-0.4226782204,-0.1093745713,True,Chronos-2,20000,True
GIFT-Long,Timer-4.0,Timer-3.5,-0.02960766202,-0.0823284611,0.01632592378,False,,20000,True
GIFT-Long,Timer-4.0,timesfm2.5,0.07173199566,0.01850530771,0.1265162765,True,timesfm2.5,20000,True
GIFT-Long,Timer-4.0,moirai2,-0.2098739644,-0.3756706903,-0.08385741992,True,Timer-4.0,20000,True
GIFT-Long,Timer-4.0,toto2.0,-0.08806477459,-0.2349491984,0.04316317002,False,,20000,True
GIFT-Long,Timer-3.5,timesfm2.5,0.1013396577,0.0425881557,0.1703182892,True,timesfm2.5,20000,True
GIFT-Long,Timer-3.5,moirai2,-0.1802663024,-0.3454824318,-0.05408679126,True,Timer-3.5,20000,True
GIFT-Long,Timer-3.5,toto2.0,-0.05845711257,-0.1945713453,0.06240324018,False,,20000,True
GIFT-Long,timesfm2.5,moirai2,-0.2816059601,-0.4497777977,-0.1504371207,True,timesfm2.5,20000,True
GIFT-Long,timesfm2.5,toto2.0,-0.1597967703,-0.3338631289,-0.008945773665,True,timesfm2.5,20000,True
GIFT-Long,moirai2,toto2.0,0.1218091898,-0.06453014199,0.3228372871,False,,20000,True
GIFT-Medium,Chronos-2,Timer-4.0,-0.06277392529,-0.1499496091,0.03998309319,False,,20000,True
GIFT-Medium,Chronos-2,Timer-3.5,-0.1741533029,-0.2792308706,-0.07135602236,True,Chronos-2,20000,True
GIFT-Medium,Chronos-2,timesfm2.5,-0.05313426483,-0.1429379461,0.03272004302,False,,20000,True
GIFT-Medium,Chronos-2,moirai2,-0.2350193163,-0.3629928268,-0.1078544847,True,Chronos-2,20000,True
GIFT-Medium,Chronos-2,toto2.0,-0.2110209992,-0.4082592373,-0.05322363884,True,Chronos-2,20000,True
GIFT-Medium,Timer-4.0,Timer-3.5,-0.1113793777,-0.2683696673,0.0003369107412,False,,20000,True
GIFT-Medium,Timer-4.0,timesfm2.5,0.009639660455,-0.08018082983,0.08461433534,False,,20000,True
GIFT-Medium,Timer-4.0,moirai2,-0.172245391,-0.2746859887,-0.07713625941,True,Timer-4.0,20000,True
GIFT-Medium,Timer-4.0,toto2.0,-0.1482470739,-0.3726397661,0.03997035561,False,,20000,True
GIFT-Medium,Timer-3.5,timesfm2.5,0.1210190381,0.03346585071,0.2276714971,True,timesfm2.5,20000,True
GIFT-Medium,Timer-3.5,moirai2,-0.06086601335,-0.2244433542,0.1317480323,False,,20000,True
GIFT-Medium,Timer-3.5,toto2.0,-0.03686769623,-0.2187259316,0.1201311884,False,,20000,True
GIFT-Medium,timesfm2.5,moirai2,-0.1818850515,-0.307782664,-0.05896717632,True,timesfm2.5,20000,True
GIFT-Medium,timesfm2.5,toto2.0,-0.1578867343,-0.3158533489,-0.02145223304,True,timesfm2.5,20000,True
GIFT-Medium,moirai2,toto2.0,0.02399831712,-0.20069523,0.2243519379,False,,20000,True
GIFT-Short,Chronos-2,Timer-4.0,-0.09823702188,-0.1669187515,-0.03755347786,True,Chronos-2,20000,True
GIFT-Short,Chronos-2,Timer-3.5,-0.06791291712,-0.1132088105,-0.0217513181,True,Chronos-2,20000,True
GIFT-Short,Chronos-2,timesfm2.5,-0.04689034331,-0.09693331801,0.00382642366,False,,20000,True
GIFT-Short,Chronos-2,tirex2,-0.07159595923,-0.1810607984,0.01556555159,False,,20000,True
GIFT-Short,Chronos-2,moirai2,-0.110242166,-0.1594956366,-0.05757412292,True,Chronos-2,20000,True
GIFT-Short,Chronos-2,toto2.0,-0.08357929322,-0.2113713791,0.009441577771,False,,20000,True
GIFT-Short,Timer-4.0,Timer-3.5,0.03032410476,-0.03327728453,0.1164253433,False,,20000,True
GIFT-Short,Timer-4.0,timesfm2.5,0.05134667857,-0.01376603234,0.1325259762,False,,20000,True
GIFT-Short,Timer-4.0,tirex2,0.02664106265,-0.03614994361,0.08416182976,False,,20000,True
GIFT-Short,Timer-4.0,moirai2,-0.01200514416,-0.08992121239,0.08676622469,False,,20000,True
GIFT-Short,Timer-4.0,toto2.0,0.01465772866,-0.1077294251,0.09991588473,False,,20000,True
GIFT-Short,Timer-3.5,timesfm2.5,0.02102257381,-0.02131613905,0.06070476667,False,,20000,True
GIFT-Short,Timer-3.5,tirex2,-0.003683042114,-0.1360841303,0.09271377452,False,,20000,True
GIFT-Short,Timer-3.5,moirai2,-0.04232924892,-0.0841351022,-0.001011577388,True,Timer-3.5,20000,True
GIFT-Short,Timer-3.5,toto2.0,-0.0156663761,-0.148370851,0.0856027428,False,,20000,True
GIFT-Short,timesfm2.5,tirex2,-0.02470561593,-0.1505799964,0.07246926777,False,,20000,True
GIFT-Short,timesfm2.5,moirai2,-0.06335182273,-0.1088798639,-0.01683339053,True,timesfm2.5,20000,True
GIFT-Short,timesfm2.5,toto2.0,-0.03668894991,-0.1563737059,0.05804609722,False,,20000,True
GIFT-Short,tirex2,moirai2,-0.0386462068,-0.1504516234,0.1076113428,False,,20000,True
GIFT-Short,tirex2,toto2.0,-0.01198333399,-0.1431418399,0.0944881683,False,,20000,True
GIFT-Short,moirai2,toto2.0,0.02666287282,-0.1144307189,0.1386298945,False,,20000,True
