suite,benchmark,horizon_group,model_id,high_coverage_macro_effect_nrmse,included_capability_count,high_coverage_macro_rank,selection_rule
FEV-Mini20,FEV-Bench,native,toto2.0,0.5114346631,5,1,capability task coverage >= 0.80; descriptive sensitivity only
FEV-Mini20,FEV-Bench,native,timesfm2.5,0.5565305301,5,2,capability task coverage >= 0.80; descriptive sensitivity only
FEV-Mini20,FEV-Bench,native,tirex2,0.599327243,5,3,capability task coverage >= 0.80; descriptive sensitivity only
FEV-Mini20,FEV-Bench,native,Timer-3.5,0.6410856395,5,4,capability task coverage >= 0.80; descriptive sensitivity only
FEV-Mini20,FEV-Bench,native,moirai2,0.6524857536,5,5,capability task coverage >= 0.80; descriptive sensitivity only
FEV-Mini20,FEV-Bench,native,Chronos-2,0.6673162017,5,6,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Long,GIFT-Eval,long,Chronos-2,0.5903172803,5,1,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Long,GIFT-Eval,long,timesfm2.5,0.6451091795,5,2,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Long,GIFT-Eval,long,toto2.0,0.7645375712,5,3,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Long,GIFT-Eval,long,Timer-3.5,0.774860343,5,4,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Long,GIFT-Eval,long,moirai2,1.01002397,5,5,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Medium,GIFT-Eval,medium,Chronos-2,0.6790052254,5,1,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,0.7304180773,5,2,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,0.9057925714,5,3,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Medium,GIFT-Eval,medium,toto2.0,0.949923233,5,4,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Medium,GIFT-Eval,medium,moirai2,0.9956707817,5,5,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Short,GIFT-Eval,short,Chronos-2,0.4785077024,5,1,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Short,GIFT-Eval,short,toto2.0,0.5102107825,5,2,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Short,GIFT-Eval,short,timesfm2.5,0.5249938594,5,3,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Short,GIFT-Eval,short,tirex2,0.5447907636,5,4,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Short,GIFT-Eval,short,Timer-3.5,0.5820862398,5,5,capability task coverage >= 0.80; descriptive sensitivity only
GIFT-Short,GIFT-Eval,short,moirai2,0.6130167924,5,6,capability task coverage >= 0.80; descriptive sensitivity only
