suite,benchmark,horizon_group,model_id,capability_id,level_averaged_effect_nrmse,task_bootstrap_95_ci_lower,task_bootstrap_95_ci_upper,task_count,suite_task_count,task_coverage,bootstrap_repetitions,derived_display_metric,capability_rank
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,0.2861930493,0.1509983167,0.47265069,9,20,0.45,20000,True,1
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,0.2910784938,0.1861621278,0.4058316923,9,20,0.45,20000,True,2
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,0.2951707795,0.1771729365,0.4470797414,9,20,0.45,20000,True,3
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,0.3011025411,0.1964190695,0.4118931367,9,20,0.45,20000,True,4
FEV-Mini20,FEV-Bench,native,Timer-4.0,common_factor,0.3420793045,0.1982193437,0.5004366864,9,20,0.45,20000,True,5
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,0.3589430479,0.2309805279,0.4913506512,9,20,0.45,20000,True,6
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,0.3802409627,0.210335318,0.6093333884,9,20,0.45,20000,True,7
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,0.5506950119,0.4683471542,0.619967198,8,20,0.4,20000,True,1
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,0.6419192902,0.5994015766,0.6905164408,8,20,0.4,20000,True,2
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,0.6506887495,0.5306620095,0.7909175053,8,20,0.4,20000,True,3
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,0.6744868031,0.6287696965,0.7299601024,8,20,0.4,20000,True,4
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,0.6906901586,0.5572460546,0.9108856824,8,20,0.4,20000,True,5
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,0.7763432392,0.5398926578,1.089457676,8,20,0.4,20000,True,6
FEV-Mini20,FEV-Bench,native,Timer-4.0,covariate_impulse_response,0.8623361894,0.6381134161,1.140602138,8,20,0.4,20000,True,7
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,0.7172170315,0.335253417,1.16960942,9,20,0.45,20000,True,1
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,0.7181094174,0.3348432439,1.169071738,9,20,0.45,20000,True,2
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,0.7517081094,0.3637814473,1.208656971,9,20,0.45,20000,True,3
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,0.7629443771,0.3700737017,1.208934719,9,20,0.45,20000,True,4
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,0.7818999719,0.3875287781,1.235792002,9,20,0.45,20000,True,5
FEV-Mini20,FEV-Bench,native,Timer-4.0,cross_series_dependence,0.7905444765,0.3754114988,1.262362223,9,20,0.45,20000,True,6
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,0.8342275577,0.3798721567,1.381221827,9,20,0.45,20000,True,7
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,0.8093271822,0.629164243,1.002338113,20,20,1,20000,True,1
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,0.9536108276,0.7941367899,1.129032105,20,20,1,20000,True,2
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,1.042206528,0.822667871,1.29812333,20,20,1,20000,True,3
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,1.142927293,0.9399559572,1.380743232,20,20,1,20000,True,4
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,1.201830313,0.9304473721,1.507159376,20,20,1,20000,True,5
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,1.212573087,1.01092539,1.491140353,20,20,1,20000,True,6
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,1.259077508,0.9763758844,1.566662219,20,20,1,20000,True,7
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,0.8516150684,0.776445498,0.9271216258,18,20,0.9,20000,True,1
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,0.8644769747,0.770451038,0.9663237707,18,20,0.9,20000,True,2
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,0.8940457383,0.8050222986,0.9956539179,18,20,0.9,20000,True,3
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,0.9338045566,0.8312695674,1.048082284,18,20,0.9,20000,True,4
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,0.9629794435,0.8014908629,1.215474891,18,20,0.9,20000,True,5
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,1.062224065,0.8420135519,1.432467336,18,20,0.9,20000,True,6
FEV-Mini20,FEV-Bench,native,Timer-4.0,predictable_intermittency,1.142818105,0.8852616896,1.528852991,18,20,0.9,20000,True,7
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,0.1026859614,0.07150227841,0.1365580187,20,20,1,20000,True,1
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,0.1100236796,0.07371722637,0.1506543306,20,20,1,20000,True,2
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,0.1197441879,0.07970370951,0.1614311817,20,20,1,20000,True,3
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,0.1362862374,0.05969201065,0.2389263667,20,20,1,20000,True,4
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,0.1632377905,0.1110937208,0.2213357801,20,20,1,20000,True,5
FEV-Mini20,FEV-Bench,native,Timer-4.0,regime_switching,0.1809884783,0.08426882408,0.3209088131,20,20,1,20000,True,6
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,0.2125384652,0.07926886051,0.4342729176,20,20,1,20000,True,7
FEV-Mini20,FEV-Bench,native,toto2.0,time_varying_seasonality,0.6626374434,0.4793038266,0.8681725415,20,20,1,20000,True,1
FEV-Mini20,FEV-Bench,native,timesfm2.5,time_varying_seasonality,0.7335717233,0.5235771935,0.9638186196,20,20,1,20000,True,2
FEV-Mini20,FEV-Bench,native,Timer-3.5,time_varying_seasonality,0.7555655496,0.5501020171,0.9802197994,20,20,1,20000,True,3
FEV-Mini20,FEV-Bench,native,tirex2,time_varying_seasonality,0.7938957873,0.5434671545,1.105288609,20,20,1,20000,True,4
FEV-Mini20,FEV-Bench,native,moirai2,time_varying_seasonality,0.7974517024,0.5884358224,1.017865237,20,20,1,20000,True,5
FEV-Mini20,FEV-Bench,native,Chronos-2,time_varying_seasonality,0.8119565624,0.5532166532,1.120551152,20,20,1,20000,True,6
FEV-Mini20,FEV-Bench,native,Timer-4.0,time_varying_seasonality,0.8457495754,0.6049862311,1.11095277,20,20,1,20000,True,7
FEV-Mini20,FEV-Bench,native,moirai2,trend,0.08749395196,0.05538281202,0.1290552379,18,20,0.9,20000,True,1
FEV-Mini20,FEV-Bench,native,timesfm2.5,trend,0.1112489369,0.07334254695,0.1524740664,18,20,0.9,20000,True,2
FEV-Mini20,FEV-Bench,native,toto2.0,trend,0.1235699418,0.08477130718,0.1703449295,18,20,0.9,20000,True,3
FEV-Mini20,FEV-Bench,native,tirex2,trend,0.1302019242,0.05925460297,0.2249481833,18,20,0.9,20000,True,4
FEV-Mini20,FEV-Bench,native,Chronos-2,trend,0.1764511114,0.0576021659,0.3663168935,18,20,0.9,20000,True,5
FEV-Mini20,FEV-Bench,native,Timer-3.5,trend,0.1807181212,0.126172808,0.242181598,18,20,0.9,20000,True,6
FEV-Mini20,FEV-Bench,native,Timer-4.0,trend,0.2214129942,0.06663743621,0.447663982,18,20,0.9,20000,True,7
GIFT-Long,GIFT-Eval,long,Chronos-2,common_factor,0.3851945981,0.2568815511,0.5588346208,4,11,0.3636363636,20000,True,1
GIFT-Long,GIFT-Eval,long,toto2.0,common_factor,0.6630805599,0.379270807,0.9081439868,4,11,0.3636363636,20000,True,2
GIFT-Long,GIFT-Eval,long,Timer-3.5,common_factor,0.7386587285,0.4455327982,1.031784659,4,11,0.3636363636,20000,True,3
GIFT-Long,GIFT-Eval,long,Timer-4.0,common_factor,0.7596077874,0.439524485,1.023685863,4,11,0.3636363636,20000,True,4
GIFT-Long,GIFT-Eval,long,timesfm2.5,common_factor,0.7718095496,0.4023616483,1.141257451,4,11,0.3636363636,20000,True,5
GIFT-Long,GIFT-Eval,long,moirai2,common_factor,1.084236115,0.6349740989,1.639598992,4,11,0.3636363636,20000,True,6
GIFT-Long,GIFT-Eval,long,timesfm2.5,covariate_impulse_response,0.3351343653,0.1531391206,0.6406265964,3,11,0.2727272727,20000,True,1
GIFT-Long,GIFT-Eval,long,Chronos-2,covariate_impulse_response,0.3974530593,0.2140252153,0.6253122171,3,11,0.2727272727,20000,True,2
GIFT-Long,GIFT-Eval,long,moirai2,covariate_impulse_response,0.4903511629,0.1836392008,0.6660021986,3,11,0.2727272727,20000,True,3
GIFT-Long,GIFT-Eval,long,Timer-4.0,covariate_impulse_response,0.5709691952,0.2954017824,0.7857898866,3,11,0.2727272727,20000,True,4
GIFT-Long,GIFT-Eval,long,Timer-3.5,covariate_impulse_response,0.5936593505,0.2465958546,0.7967539581,3,11,0.2727272727,20000,True,5
GIFT-Long,GIFT-Eval,long,toto2.0,covariate_impulse_response,0.8574889064,0.1383701996,1.987406481,3,11,0.2727272727,20000,True,6
GIFT-Long,GIFT-Eval,long,Chronos-2,cross_series_dependence,0.8932563752,0.4912167492,1.258076602,6,11,0.5454545455,20000,True,1
GIFT-Long,GIFT-Eval,long,Timer-4.0,cross_series_dependence,0.9659669853,0.5169546957,1.378628003,6,11,0.5454545455,20000,True,2
GIFT-Long,GIFT-Eval,long,Timer-3.5,cross_series_dependence,0.9945917008,0.5885979165,1.348160342,6,11,0.5454545455,20000,True,3
GIFT-Long,GIFT-Eval,long,moirai2,cross_series_dependence,1.018634786,0.5851696073,1.436546462,6,11,0.5454545455,20000,True,4
GIFT-Long,GIFT-Eval,long,timesfm2.5,cross_series_dependence,1.058004421,0.6285868989,1.495666527,6,11,0.5454545455,20000,True,5
GIFT-Long,GIFT-Eval,long,toto2.0,cross_series_dependence,1.325611073,1.050958452,1.681333882,6,11,0.5454545455,20000,True,6
GIFT-Long,GIFT-Eval,long,Chronos-2,multi_seasonal,0.9144960364,0.845597739,0.9865516208,11,11,1,20000,True,1
GIFT-Long,GIFT-Eval,long,timesfm2.5,multi_seasonal,0.965956275,0.8449201557,1.081051398,11,11,1,20000,True,2
GIFT-Long,GIFT-Eval,long,toto2.0,multi_seasonal,0.9977196969,0.6456776233,1.446961321,11,11,1,20000,True,3
GIFT-Long,GIFT-Eval,long,Timer-4.0,multi_seasonal,1.013921132,0.8312393638,1.187725161,11,11,1,20000,True,4
GIFT-Long,GIFT-Eval,long,Timer-3.5,multi_seasonal,1.167812185,1.008985029,1.341852001,11,11,1,20000,True,5
GIFT-Long,GIFT-Eval,long,moirai2,multi_seasonal,1.637531213,1.159773587,2.17804198,11,11,1,20000,True,6
GIFT-Long,GIFT-Eval,long,Chronos-2,predictable_intermittency,1.05107737,1.026012607,1.07967821,11,11,1,20000,True,1
GIFT-Long,GIFT-Eval,long,timesfm2.5,predictable_intermittency,1.068544321,1.029722895,1.12284306,11,11,1,20000,True,2
GIFT-Long,GIFT-Eval,long,Timer-3.5,predictable_intermittency,1.118298715,1.062204678,1.184910051,11,11,1,20000,True,3
GIFT-Long,GIFT-Eval,long,toto2.0,predictable_intermittency,1.184021371,0.9874490341,1.505474416,11,11,1,20000,True,4
