suite,capability_id,left_model_id,right_model_id,paired_task_count,mean_difference_left_minus_right,paired_task_bootstrap_95_ci_lower,paired_task_bootstrap_95_ci_upper,significant_uncorrected,better_model_id
FEV-Mini20,trend,Chronos-2,Timer-4.0,18,-0.0449618828,-0.1158647081,-0.0005972567195,True,Chronos-2
FEV-Mini20,trend,Chronos-2,Timer-3.5,18,-0.004267009858,-0.1101960534,0.1563412638,False,
FEV-Mini20,trend,Chronos-2,timesfm2.5,18,0.0652021745,-0.04083665975,0.23550501,False,
FEV-Mini20,trend,Chronos-2,tirex2,18,0.04624918719,-0.01643469052,0.1484607043,False,
FEV-Mini20,trend,Chronos-2,moirai2,18,0.08895715941,-0.006661819757,0.2475156893,False,
FEV-Mini20,trend,Chronos-2,toto2.0,18,0.05288116955,-0.04737150685,0.2073134035,False,
FEV-Mini20,trend,Timer-4.0,Timer-3.5,18,0.04069487294,-0.101033183,0.2344244259,False,
FEV-Mini20,trend,Timer-4.0,timesfm2.5,18,0.1101640573,-0.03151304661,0.3165326333,False,
FEV-Mini20,trend,Timer-4.0,tirex2,18,0.09121106999,-0.008501445136,0.2297942487,False,
FEV-Mini20,trend,Timer-4.0,moirai2,18,0.1339190422,0.001275052358,0.3323471283,True,moirai2
FEV-Mini20,trend,Timer-4.0,toto2.0,18,0.09784305235,-0.03930199247,0.2893661625,False,
FEV-Mini20,trend,Timer-3.5,timesfm2.5,18,0.06946918435,0.03759096204,0.1020919896,True,timesfm2.5
FEV-Mini20,trend,Timer-3.5,tirex2,18,0.05051619704,-0.01461629577,0.1095699466,False,
FEV-Mini20,trend,Timer-3.5,moirai2,18,0.09322416926,0.06201221683,0.128480087,True,moirai2
FEV-Mini20,trend,Timer-3.5,toto2.0,18,0.0571481794,0.01756914927,0.09498065588,True,toto2.0
FEV-Mini20,trend,timesfm2.5,tirex2,18,-0.01895298731,-0.09167554413,0.03729827097,False,
FEV-Mini20,trend,timesfm2.5,moirai2,18,0.02375498491,0.001291211966,0.04757946462,True,moirai2
