suite,benchmark,horizon_group,task_id,model_id,official_instance_count,official_mase,official_mae
FEV-Mini20,FEV-Bench,native,fev__uk_covid_nation_1D-cumulative,Chronos-2,80,9.003530518,12459.2727
FEV-Mini20,FEV-Bench,native,fev__us_consumption_1Y,Chronos-2,310,4.732249346,225306.8943
FEV-Mini20,FEV-Bench,native,fev__rossmann_1W,Chronos-2,8920,4.133965281,43313.72426
FEV-Mini20,FEV-Bench,native,fev__world_co2_emissions,Chronos-2,1719,3.332110538,95964.54653
FEV-Mini20,FEV-Bench,native,fev__rossmann_1D,Chronos-2,10610,2.958648334,5872.090861
FEV-Mini20,FEV-Bench,native,fev__solar_with_weather_1H,Chronos-2,20,2.022353088,2363.164398
FEV-Mini20,FEV-Bench,native,fev__rohlik_orders_1D,Chronos-2,35,1.210932297,328.3431883
FEV-Mini20,FEV-Bench,native,fev__ETT_1H,Chronos-2,40,1.12096017,2.206241394
FEV-Mini20,FEV-Bench,native,fev__uci_air_quality_1H,Chronos-2,20,1.064880933,40.77542502
FEV-Mini20,FEV-Bench,native,fev__epf_np,Chronos-2,20,0.8501928321,2.115073403
FEV-Mini20,FEV-Bench,native,fev__M_DENSE_1D,Chronos-2,300,0.8115233579,48.10744416
FEV-Mini20,FEV-Bench,native,fev__hospital_admissions_1W,Chronos-2,128,0.7580615994,8.959840937
FEV-Mini20,FEV-Bench,native,fev__hospital_admissions_1D,Chronos-2,160,0.716787498,3.188697448
FEV-Mini20,FEV-Bench,native,fev__boomlet_1676,Chronos-2,20,0.7035914935,0.3670117426
FEV-Mini20,FEV-Bench,native,fev__ETT_15T,Chronos-2,40,0.6929786533,1.335102166
FEV-Mini20,FEV-Bench,native,fev__proenfo_gfc14,Chronos-2,20,0.5386865199,87.03687112
FEV-Mini20,FEV-Bench,native,fev__boomlet_1282,Chronos-2,20,0.5228616842,0.3901621442
FEV-Mini20,FEV-Bench,native,fev__bizitobs_l2c_5T,Chronos-2,20,0.5169198949,5.353241978
FEV-Mini20,FEV-Bench,native,fev__jena_weather_1H,Chronos-2,20,0.4373974641,7.509526001
FEV-Mini20,FEV-Bench,native,fev__boomlet_619,Chronos-2,20,0.4234249111,0.3002126643
FEV-Mini20,FEV-Bench,native,fev__uk_covid_nation_1D-cumulative,Timer-3.5,80,12.0107291,16315.48829
FEV-Mini20,FEV-Bench,native,fev__us_consumption_1Y,Timer-3.5,310,5.446482006,260297.5101
FEV-Mini20,FEV-Bench,native,fev__world_co2_emissions,Timer-3.5,1719,3.707116996,104420.8848
FEV-Mini20,FEV-Bench,native,fev__rohlik_orders_1D,Timer-3.5,35,1.506437086,413.0174615
FEV-Mini20,FEV-Bench,native,fev__epf_np,Timer-3.5,20,1.285602196,3.199262985
FEV-Mini20,FEV-Bench,native,fev__uci_air_quality_1H,Timer-3.5,20,1.118826605,42.98273385
FEV-Mini20,FEV-Bench,native,fev__solar_with_weather_1H,Timer-3.5,20,1.061233324,1239.964502
FEV-Mini20,FEV-Bench,native,fev__ETT_1H,Timer-3.5,40,1.033650657,2.009306854
FEV-Mini20,FEV-Bench,native,fev__M_DENSE_1D,Timer-3.5,300,0.8263501042,47.39751945
FEV-Mini20,FEV-Bench,native,fev__hospital_admissions_1W,Timer-3.5,128,0.7582620342,8.968930811
FEV-Mini20,FEV-Bench,native,fev__hospital_admissions_1D,Timer-3.5,160,0.7178094782,3.193322167
FEV-Mini20,FEV-Bench,native,fev__boomlet_1676,Timer-3.5,20,0.6998480563,0.3605069905
FEV-Mini20,FEV-Bench,native,fev__ETT_15T,Timer-3.5,40,0.6873511126,1.308683855
FEV-Mini20,FEV-Bench,native,fev__rossmann_1W,Timer-3.5,8920,0.6787017964,7231.258272
FEV-Mini20,FEV-Bench,native,fev__rossmann_1D,Timer-3.5,10610,0.6250609096,1253.233691
FEV-Mini20,FEV-Bench,native,fev__boomlet_1282,Timer-3.5,20,0.4982922136,0.382135982
FEV-Mini20,FEV-Bench,native,fev__jena_weather_1H,Timer-3.5,20,0.4405272271,7.301886726
FEV-Mini20,FEV-Bench,native,fev__bizitobs_l2c_5T,Timer-3.5,20,0.4404314907,4.54038011
FEV-Mini20,FEV-Bench,native,fev__boomlet_619,Timer-3.5,20,0.4022339329,0.2790312976
FEV-Mini20,FEV-Bench,native,fev__proenfo_gfc14,Timer-3.5,20,0.1711945571,27.58383099
FEV-Mini20,FEV-Bench,native,fev__uk_covid_nation_1D-cumulative,moirai2,80,8.230294625,10732.84352
FEV-Mini20,FEV-Bench,native,fev__us_consumption_1Y,moirai2,310,5.823778753,286762.6401
FEV-Mini20,FEV-Bench,native,fev__world_co2_emissions,moirai2,1719,3.494639025,100296.5898
FEV-Mini20,FEV-Bench,native,fev__rohlik_orders_1D,moirai2,35,1.231871646,332.7576885
FEV-Mini20,FEV-Bench,native,fev__epf_np,moirai2,20,1.221543428,3.040459617
FEV-Mini20,FEV-Bench,native,fev__ETT_1H,moirai2,40,1.118904403,2.176204622
FEV-Mini20,FEV-Bench,native,fev__uci_air_quality_1H,moirai2,20,1.085013009,42.34737064
FEV-Mini20,FEV-Bench,native,fev__solar_with_weather_1H,moirai2,20,1.071710748,1252.269978
FEV-Mini20,FEV-Bench,native,fev__M_DENSE_1D,moirai2,300,0.8883750684,51.48974367
FEV-Mini20,FEV-Bench,native,fev__proenfo_gfc14,moirai2,20,0.8746763754,141.4374895
FEV-Mini20,FEV-Bench,native,fev__hospital_admissions_1W,moirai2,128,0.7643243707,9.040847677
FEV-Mini20,FEV-Bench,native,fev__ETT_15T,moirai2,40,0.7211730255,1.386433649
FEV-Mini20,FEV-Bench,native,fev__hospital_admissions_1D,moirai2,160,0.7187636126,3.197420885
FEV-Mini20,FEV-Bench,native,fev__boomlet_1676,moirai2,20,0.7109702192,0.3704936273
FEV-Mini20,FEV-Bench,native,fev__rossmann_1D,moirai2,10610,0.6870439956,1384.626134
FEV-Mini20,FEV-Bench,native,fev__rossmann_1W,moirai2,8920,0.6439797936,6886.073629
FEV-Mini20,FEV-Bench,native,fev__boomlet_1282,moirai2,20,0.5161186963,0.3965025145
FEV-Mini20,FEV-Bench,native,fev__jena_weather_1H,moirai2,20,0.447963023,7.33443962
