suite,metric,model_id,pairwise_comparison_count,uncorrected_significant_wins,uncorrected_significant_losses,not_significant,warning
FEV-Mini20,capability_effect_nrmse,Chronos-2,240,31,34,175,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,capability_effect_nrmse,Timer-3.5,240,15,71,154,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,capability_effect_nrmse,Timer-4.0,240,0,84,156,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,capability_effect_nrmse,moirai2,240,30,57,153,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,capability_effect_nrmse,timesfm2.5,240,54,20,166,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,capability_effect_nrmse,tirex2,240,44,15,181,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,capability_effect_nrmse,toto2.0,240,112,5,123,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,input_ablation_mase_degradation,Chronos-2,90,0,15,75,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,input_ablation_mase_degradation,Timer-3.5,90,17,1,72,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,input_ablation_mase_degradation,Timer-4.0,90,5,5,80,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,input_ablation_mase_degradation,moirai2,90,8,5,77,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,input_ablation_mase_degradation,timesfm2.5,90,7,5,78,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,input_ablation_mase_degradation,tirex2,90,8,6,76,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,input_ablation_mase_degradation,toto2.0,90,6,14,70,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,official_mase,Chronos-2,6,0,2,4,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,official_mase,Timer-3.5,6,0,1,5,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,official_mase,Timer-4.0,6,1,0,5,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,official_mase,moirai2,6,0,1,5,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,official_mase,timesfm2.5,6,3,0,3,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,official_mase,tirex2,6,0,0,6,95% paired task-bootstrap intervals; no multiple-comparison correction
FEV-Mini20,official_mase,toto2.0,6,0,0,6,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,capability_effect_nrmse,Chronos-2,200,141,1,58,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,capability_effect_nrmse,Timer-3.5,200,18,71,111,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,capability_effect_nrmse,Timer-4.0,200,41,54,105,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,capability_effect_nrmse,moirai2,200,9,92,99,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,capability_effect_nrmse,timesfm2.5,200,60,25,115,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,capability_effect_nrmse,toto2.0,200,17,43,140,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,input_ablation_mase_degradation,Chronos-2,75,6,1,68,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,input_ablation_mase_degradation,Timer-3.5,75,7,5,63,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,input_ablation_mase_degradation,Timer-4.0,75,1,2,72,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,input_ablation_mase_degradation,moirai2,75,4,4,67,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,input_ablation_mase_degradation,timesfm2.5,75,3,5,67,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,input_ablation_mase_degradation,toto2.0,75,2,6,67,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,official_mase,Chronos-2,5,2,0,3,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,official_mase,Timer-3.5,5,3,0,2,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,official_mase,Timer-4.0,5,2,2,1,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,official_mase,moirai2,5,0,4,1,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,official_mase,timesfm2.5,5,3,0,2,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Long,official_mase,toto2.0,5,0,4,1,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,capability_effect_nrmse,Chronos-2,200,105,1,94,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,capability_effect_nrmse,Timer-3.5,200,5,48,147,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,capability_effect_nrmse,Timer-4.0,200,23,41,136,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,capability_effect_nrmse,moirai2,200,10,70,120,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,capability_effect_nrmse,timesfm2.5,200,34,24,142,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,capability_effect_nrmse,toto2.0,200,24,17,159,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,input_ablation_mase_degradation,Chronos-2,75,13,1,61,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,input_ablation_mase_degradation,Timer-3.5,75,4,7,64,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,input_ablation_mase_degradation,Timer-4.0,75,5,1,69,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,input_ablation_mase_degradation,moirai2,75,6,6,63,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,input_ablation_mase_degradation,timesfm2.5,75,6,7,62,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,input_ablation_mase_degradation,toto2.0,75,2,14,59,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,official_mase,Chronos-2,5,2,0,3,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,official_mase,Timer-3.5,5,1,0,4,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,official_mase,Timer-4.0,5,0,0,5,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,official_mase,moirai2,5,0,3,2,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,official_mase,timesfm2.5,5,2,0,3,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Medium,official_mase,toto2.0,5,0,2,3,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,capability_effect_nrmse,Chronos-2,240,88,7,145,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,capability_effect_nrmse,Timer-3.5,240,4,56,180,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,capability_effect_nrmse,Timer-4.0,240,8,55,177,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,capability_effect_nrmse,moirai2,240,5,62,173,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,capability_effect_nrmse,timesfm2.5,240,47,33,160,95% paired task-bootstrap intervals; no multiple-comparison correction
