suite,benchmark,horizon_group,model_id,capability_id,capability_level,treatment_mase_task_equal,treatment_mae_task_equal,task_count
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,1,1.658742178,1494.792184,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,1,1.949039747,1817.064378,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,common_factor,1,1.563788305,1806.668388,9
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,1,1.60297206,1425.166624,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,1,1.601504048,1474.786641,9
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,1,1.612158909,1855.581893,9
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,1,1.669134314,1865.86343,9
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,2,1.697738327,1530.768196,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,2,2.017514079,1920.180688,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,common_factor,2,1.581415049,1851.161716,9
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,2,1.68407092,1635.381467,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,2,1.62113356,1504.395912,9
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,2,1.718376985,1819.764616,9
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,2,1.665894136,1574.650265,9
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,3,1.743752701,1525.48793,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,3,2.006820158,1994.81152,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,common_factor,3,1.604439635,1762.821957,9
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,3,1.768093206,1765.464046,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,3,1.620741204,1504.813419,9
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,3,1.822073159,1777.751268,9
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,3,1.66194465,1532.435085,9
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,4,1.814864874,1556.485465,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,4,2.063150989,2035.578175,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,common_factor,4,1.67399544,1826.125193,9
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,4,1.886382768,1918.277769,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,4,1.646894214,1526.395653,9
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,4,1.954322159,2315.796981,9
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,4,1.664734537,1515.550348,9
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,5,1.916032163,1627.559711,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,5,2.181343936,2178.399637,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,common_factor,5,1.710581548,1779.205049,9
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,5,2.014778137,2174.88426,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,5,1.658266594,1542.355762,9
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,5,1.99005009,2378.508399,9
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,5,1.651589471,1469.586492,9
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,1,2.908587712,8223.285482,8
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,1,2.709679617,3886.428101,8
FEV-Mini20,FEV-Bench,native,Timer-4.0,covariate_impulse_response,1,2.299915286,5056.109818,8
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,1,2.433409332,2767.802407,8
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,1,2.105784559,2362.330083,8
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,1,2.785700218,7438.815211,8
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,1,2.134068218,3662.134596,8
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,2,2.951195375,8169.638858,8
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,2,2.862467491,4001.143506,8
FEV-Mini20,FEV-Bench,native,Timer-4.0,covariate_impulse_response,2,2.378179466,5073.478863,8
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,2,2.665334467,2905.534183,8
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,2,2.275150095,2601.293518,8
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,2,2.824932106,7382.645614,8
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,2,2.202754813,3696.571486,8
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,3,3.041592051,8162.79154,8
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,3,3.017288833,4087.151917,8
FEV-Mini20,FEV-Bench,native,Timer-4.0,covariate_impulse_response,3,2.451793552,5112.995994,8
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,3,2.934920767,3140.452265,8
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,3,2.464211393,2801.477277,8
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,3,2.911368247,7416.73392,8
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,3,2.265967031,3694.876782,8
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,4,3.159939424,8126.601014,8
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,4,3.191438857,4201.398373,8
FEV-Mini20,FEV-Bench,native,Timer-4.0,covariate_impulse_response,4,2.602651026,5177.778359,8
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,4,3.317031473,3474.511382,8
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,4,2.659663864,3017.778415,8
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,4,3.053621026,7507.99599,8
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,4,2.382749149,3799.623141,8
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,5,3.304666278,8082.190602,8
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,5,3.451292625,4503.744117,8
FEV-Mini20,FEV-Bench,native,Timer-4.0,covariate_impulse_response,5,2.778136591,5300.170885,8
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,5,3.772510581,3958.670038,8
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,5,2.892835473,3268.117247,8
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,5,3.283253699,7727.917783,8
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,5,2.527625809,3882.975123,8
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,1,1.651396068,1418.093301,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,1,1.946741642,1850.772546,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,cross_series_dependence,1,1.542281162,1717.659077,9
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,1,1.568068887,1207.067743,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,1,1.512497425,1134.188894,9
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,1,1.555622227,1787.998102,9
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,1,1.675034628,2120.207174,9
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,2,1.691029503,1428.612083,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,2,2.005218315,1865.69665,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,cross_series_dependence,2,1.588701917,1701.368017,9
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,2,1.612269631,1219.164926,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,2,1.550389795,1144.750309,9
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,2,1.602691748,1807.853408,9
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,2,1.730591561,2141.104602,9
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,3,1.741548578,1443.894143,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,3,2.074867349,1890.094056,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,cross_series_dependence,3,1.650580022,1732.423823,9
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,3,1.672932487,1236.491247,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,3,1.623597504,1165.031602,9
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,3,1.656910623,1823.27324,9
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,3,1.787082975,2124.217847,9
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,4,1.822278312,1466.168788,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,4,2.181259333,1933.946676,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,cross_series_dependence,4,1.748774538,1740.6363,9
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,4,1.783890771,1271.280795,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,4,1.767761191,1203.861498,9
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,4,1.759950961,1857.980172,9
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,4,1.893911814,2125.358202,9
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,5,1.924451703,1486.312028,9
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,5,2.293205699,1960.435399,9
FEV-Mini20,FEV-Bench,native,Timer-4.0,cross_series_dependence,5,1.875224589,1764.627199,9
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,5,1.919331709,1310.751579,9
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,5,1.934262023,1240.799361,9
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,5,1.891860342,1909.190643,9
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,5,2.04267806,2169.653645,9
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,1,2.338744855,31365.91831,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,1,2.522301584,41628.65709,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,1,2.064877002,31988.50819,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,1,2.771097509,43572.43423,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,1,2.172208404,30942.31123,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,1,2.340565518,30932.77279,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,1,1.695249451,29772.67954,20
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,2,2.508493488,38988.00174,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,2,2.771768034,50655.34281,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,2,2.266172146,39027.02465,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,2,3.076835011,48055.21108,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,2,2.428025911,39184.18588,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,2,2.56507368,38115.92978,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,2,1.748120075,31020.97469,20
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,3,2.64665013,40120.03766,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,3,3.0893364,53486.69455,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,3,2.496349025,39824.81898,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,3,3.209570517,48927.43251,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,3,2.616696384,40092.97035,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,3,2.727681867,42195.99711,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,3,1.8284323,31844.26281,20
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,4,2.827052363,37696.42854,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,4,3.243627089,51714.15023,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,4,2.664452295,39673.30336,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,4,3.303646986,49202.87545,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,4,2.798929583,40922.90122,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,4,2.886340531,38472.37125,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,4,1.929212604,35160.57456,20
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,5,2.957048224,39543.63082,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,5,3.389156963,53441.40405,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,5,2.802585157,40785.47421,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,5,3.360743519,50570.59814,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,5,2.892902927,42096.4637,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,5,2.995817305,39826.16383,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,5,1.995759482,36341.11357,20
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,1,1.926235746,3844.93602,18
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,1,1.745870514,1718.721704,18
FEV-Mini20,FEV-Bench,native,Timer-4.0,predictable_intermittency,1,1.600079158,2376.09378,18
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,1,1.77162992,1600.770058,18
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,1,1.363993831,1012.985272,18
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,1,1.873650435,3371.580446,18
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,1,1.469395413,1690.951784,18
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,2,2.406376305,4375.579596,18
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,2,2.083549674,2057.677963,18
FEV-Mini20,FEV-Bench,native,Timer-4.0,predictable_intermittency,2,2.117194748,2860.588312,18
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,2,2.422472486,1764.402602,18
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,2,1.873953442,1480.188188,18
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,2,2.173901141,3585.467252,18
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,2,1.781145996,1835.012664,18
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,3,2.297059178,3904.262179,18
