suite,benchmark,horizon_group,task_id,model_id,capability_id,capability_level,official_instance_count,treatment_mase,treatment_mae
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,covariate_impulse_response,1,2393,1.194965732,352.3475367
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,covariate_impulse_response,2,2393,1.18770136,351.8729658
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,covariate_impulse_response,3,2393,1.18825425,351.0543444
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,covariate_impulse_response,4,2393,1.166558702,350.053947
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,covariate_impulse_response,5,2393,1.153078558,350.6000361
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,cross_series_dependence,1,2336,0.8958777459,347.4498306
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,cross_series_dependence,2,2336,0.9148687459,343.8593689
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,cross_series_dependence,3,2336,0.9425549594,343.0799664
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,cross_series_dependence,4,2336,0.9880983844,342.7577475
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,cross_series_dependence,5,2336,1.053961288,344.9102989
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,multi_seasonal,1,2427,2.449379431,360.6870402
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,multi_seasonal,2,2427,2.597579193,357.4573194
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,multi_seasonal,3,2427,2.641756248,355.8387428
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,multi_seasonal,4,2427,2.677707601,357.5326249
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,multi_seasonal,5,2427,2.712353058,361.6176183
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Chronos-2,predictable_intermittency,1,2427,2.512893318,343.5446988
