suite,benchmark,horizon_group,model_id,capability_id,level_averaged_treatment_mase,task_count,level_averaged_effect_nrmse,capability_rank,treatment_mase_rank,same_winner
FEV-Mini20,FEV-Bench,native,Chronos-2,common_factor,1.766226049,9,0.2861930493,1,3,False
FEV-Mini20,FEV-Bench,native,tirex2,common_factor,1.81939626,9,0.2910784938,2,5,False
FEV-Mini20,FEV-Bench,native,toto2.0,common_factor,1.662659422,9,0.2951707795,3,2,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,common_factor,1.629707924,9,0.3011025411,4,1,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,common_factor,2.043573782,9,0.3589430479,5,6,False
FEV-Mini20,FEV-Bench,native,moirai2,common_factor,1.791259418,9,0.3802409627,6,4,False
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,2.302633004,8,0.5506950119,1,1,True
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,3.046433485,8,0.6419192902,2,5,False
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,2.971775059,8,0.6506887495,3,3,False
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,3.024641324,8,0.6744868031,4,4,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,2.479529077,8,0.6906901586,5,2,False
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,3.073196168,8,0.7763432392,6,6,False
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,1.69340718,9,0.7172170315,1,2,False
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,1.766140833,9,0.7181094174,2,4,False
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,1.825859807,9,0.7517081094,3,5,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,1.677701588,9,0.7629443771,4,1,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,2.100258468,9,0.7818999719,5,6,False
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,1.711298697,9,0.8342275577,6,3,False
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,1.839354782,20,0.8093271822,1,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,2.581752642,20,0.9536108276,2,2,False
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,2.70309578,20,1.042206528,3,4,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,3.003238014,20,1.142927293,4,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,2.655597812,20,1.201830313,5,3,False
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,3.144378708,20,1.212573087,6,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,1.730909729,18,0.8516150684,1,2,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,1.711703102,18,0.8644769747,2,1,False
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,2.15379304,18,0.8940457383,3,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,2.187852014,18,0.9338045566,4,6,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,1.987160354,18,0.9629794435,5,3,False
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,2.055149493,18,1.062224065,6,4,False
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,1.647004359,20,0.1026859614,1,3,False
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,1.603040457,20,0.1100236796,2,2,False
