capability_id,model_id,pearson_availability_vs_effect_nrmse
trend,Timer-4.0,
trend,Chronos-2,
trend,timesfm2.5,
trend,tirex2,
trend,moirai2,
trend,Timer-3.5,
trend,toto2.0,
multi_seasonal,Timer-4.0,
multi_seasonal,Chronos-2,
multi_seasonal,timesfm2.5,
multi_seasonal,tirex2,
multi_seasonal,moirai2,
multi_seasonal,Timer-3.5,
multi_seasonal,toto2.0,
time_varying_seasonality,Timer-4.0,
time_varying_seasonality,Chronos-2,
time_varying_seasonality,timesfm2.5,
time_varying_seasonality,tirex2,
time_varying_seasonality,moirai2,
time_varying_seasonality,Timer-3.5,
time_varying_seasonality,toto2.0,
regime_switching,Timer-4.0,
regime_switching,Chronos-2,
regime_switching,timesfm2.5,
regime_switching,tirex2,
regime_switching,moirai2,
regime_switching,Timer-3.5,
regime_switching,toto2.0,
predictable_intermittency,Timer-4.0,
predictable_intermittency,Chronos-2,
predictable_intermittency,timesfm2.5,
predictable_intermittency,tirex2,
predictable_intermittency,moirai2,
predictable_intermittency,Timer-3.5,
predictable_intermittency,toto2.0,
common_factor,Timer-4.0,
common_factor,Chronos-2,
common_factor,timesfm2.5,
common_factor,tirex2,
common_factor,moirai2,
common_factor,Timer-3.5,
common_factor,toto2.0,
cross_series_dependence,Timer-4.0,
cross_series_dependence,Chronos-2,
cross_series_dependence,timesfm2.5,
cross_series_dependence,tirex2,
cross_series_dependence,moirai2,
cross_series_dependence,Timer-3.5,
cross_series_dependence,toto2.0,
covariate_impulse_response,Timer-4.0,
covariate_impulse_response,Chronos-2,
covariate_impulse_response,timesfm2.5,
covariate_impulse_response,tirex2,
covariate_impulse_response,moirai2,
covariate_impulse_response,Timer-3.5,
covariate_impulse_response,toto2.0,
