capability_id,capability_level,modal_winner,winner_consistency,modal_winner_count,unique_winner_count,winner_counts,winner_sequence_by_seed,unanimous_winner,winner_margin_n,winner_margin_mean,winner_margin_sd,winner_margin_cv,winner_margin_median,winner_margin_min,winner_margin_max,winner_margin_range,winner_margin_seed_p025,winner_margin_seed_p975,winner_margin_mean_ci95_low,winner_margin_mean_ci95_high
trend,1,Chronos-2,1.0,10,1,Chronos-2:10,Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2,True,10,0.2239088403325528,0.03830944789939094,0.1710939498525077,0.2382545928657807,0.15880889539587906,0.26744162828188023,0.10863273288600117,0.1634559098954259,0.26719308048857593,0.1965039122144932,0.2513137684506124
trend,2,Chronos-2,1.0,10,1,Chronos-2:10,Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2,True,10,0.20664195017257442,0.023292237239415706,0.11271785433675731,0.2089769184408255,0.15990245256854466,0.23608263109739067,0.07618017852884601,0.16515273238913847,0.2348913785178476,0.18997968740827273,0.2233042129368761
trend,3,Chronos-2,1.0,10,1,Chronos-2:10,Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2,True,10,0.1570930875522794,0.02547169590792431,0.16214396384212335,0.1632078942997921,0.09591724682112707,0.18304554537486475,0.08712829855373769,0.10484993576752505,0.18281134200958596,0.1388717339782219,0.17531444112633693
trend,4,Chronos-2,1.0,10,1,Chronos-2:10,Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2,True,10,0.11301025606044486,0.025340093577726572,0.22422826441675459,0.11788466497064215,0.058081358394689475,0.14193083933431488,0.08384948093962541,0.0637447081348688,0.1403926590703117,0.09488304512213373,0.13113746699875597
trend,5,Chronos-2,1.0,10,1,Chronos-2:10,Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2,True,10,0.08329511695927323,0.027309467189828386,0.3278639635403985,0.09146533575941973,0.02363483945917838,0.11591438072885363,0.09227954126967525,0.03139201023660549,0.11538984839018375,0.06375910100714431,0.10283113291140215
multi_seasonal,1,timesfm2.5,0.7,7,2,timesfm2.5:7|toto2.0:3,timesfm2.5|toto2.0|timesfm2.5|timesfm2.5|timesfm2.5|timesfm2.5|timesfm2.5|timesfm2.5|toto2.0|toto2.0,False,10,0.0349053488282831,0.025942285300338527,0.7432180502753784,0.02548578208890734,0.004573978580781124,0.08253375477086067,0.07795977619007954,0.007275854010923036,0.08176518617218546,0.016347355882494034,0.053463341774072165
multi_seasonal,2,toto2.0,0.8,8,2,timesfm2.5:2|toto2.0:8,toto2.0|toto2.0|timesfm2.5|toto2.0|toto2.0|toto2.0|toto2.0|timesfm2.5|toto2.0|toto2.0,False,10,0.04448975817170385,0.03877489983024569,0.8715466530655838,0.03617924309212428,0.0025353571675859055,0.12208058275855893,0.11954522559097303,0.004326731430505604,0.11642317799488072,0.01675186580051837,0.07222765054288932
multi_seasonal,3,toto2.0,0.9,9,2,timesfm2.5:1|toto2.0:9,toto2.0|toto2.0|toto2.0|toto2.0|toto2.0|toto2.0|toto2.0|timesfm2.5|toto2.0|toto2.0,False,10,0.056684714116727,0.0366318832168766,0.6462391808388243,0.055443437618400704,0.017336542316797487,0.13242808338916223,0.11509154107236474,0.01792253560677297,0.12166123244314402,0.030479843479486197,0.08288958475396781
multi_seasonal,4,toto2.0,0.9,9,2,Chronos-2:1|toto2.0:9,toto2.0|toto2.0|toto2.0|toto2.0|toto2.0|toto2.0|toto2.0|Chronos-2|toto2.0|toto2.0,False,10,0.08101880258120389,0.04439299831342797,0.5479345151877992,0.09970756646622797,0.01716124889617887,0.12984108134336458,0.11267983244718571,0.019035486609471984,0.12887401837537046,0.049261964661752304,0.11277564050065547
multi_seasonal,5,toto2.0,0.8,8,2,Chronos-2:2|toto2.0:8,toto2.0|toto2.0|toto2.0|toto2.0|Chronos-2|toto2.0|toto2.0|Chronos-2|toto2.0|toto2.0,False,10,0.08356728479692618,0.04093336160771594,0.48982519543606823,0.09646533543857455,0.002654520560414042,0.1390130293011015,0.13635850874068745,0.009821788863310858,0.13381571977021442,0.0542853218869927,0.11284924770685967
time_varying_seasonality,1,Chronos-2,1.0,10,1,Chronos-2:10,Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2,True,10,0.08566650042161275,0.01667073847776461,0.1946004376940646,0.08455653303412752,0.0624608479583304,0.10950114792417787,0.047040299965847465,0.06330845195058286,0.10861861399359314,0.07374097252421456,0.09759202831901094
time_varying_seasonality,2,Chronos-2,1.0,10,1,Chronos-2:10,Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2,True,10,0.04622366536642337,0.0075738540812990505,0.1638523042528051,0.046910483271863285,0.0361601477552973,0.05738640272926754,0.021226254973970238,0.03622547771437284,0.05672670767916949,0.04080565654468902,0.05164167418815772
time_varying_seasonality,3,Chronos-2,1.0,10,1,Chronos-2:10,Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2,True,10,0.04081127513690697,0.005702920882589134,0.13973885558483312,0.04172145879079886,0.031194535214504493,0.04750623345972799,0.016311698245223494,0.031456560804089026,0.047282655204209795,0.036731651299445695,0.04489089897436825
time_varying_seasonality,4,Chronos-2,1.0,10,1,Chronos-2:10,Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2,True,10,0.045246680750056154,0.0038075470753478643,0.08415085951565937,0.04528862990100929,0.04117351643754402,0.05263544185884561,0.011461925421301589,0.04124551249100322,0.05175297083515252,0.04252292565496654,0.047970435845145765
time_varying_seasonality,5,Chronos-2,1.0,10,1,Chronos-2:10,Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2,True,10,0.04263834826800749,0.005910627273532135,0.13862233209364283,0.0407648362198625,0.03437439690685795,0.05259413731530044,0.018219740408442486,0.035383489029443285,0.05194393009877139,0.038410140229374654,0.04686655630664033
regime_switching,1,tirex2,0.7,7,2,Chronos-2:3|tirex2:7,tirex2|tirex2|tirex2|Chronos-2|tirex2|tirex2|tirex2|tirex2|Chronos-2|Chronos-2,False,10,0.018524978458635204,0.009556353475153743,0.515863135630215,0.018393313001413093,0.0031054279982706753,0.03188202166043632,0.028776593662165645,0.004049139762252679,0.031181167688065652,0.011688775004460111,0.025361181912810296
regime_switching,2,tirex2,0.8,8,2,Chronos-2:2|tirex2:8,tirex2|tirex2|tirex2|tirex2|tirex2|tirex2|tirex2|tirex2|Chronos-2|Chronos-2,False,10,0.02827537661213858,0.010890897961738366,0.3851725163958707,0.030031418936707303,0.012333653404267245,0.045720032998481076,0.03338637959421383,0.012725189568151087,0.04414275025993579,0.02048449754318425,0.03606625568109292
regime_switching,3,tirex2,0.8,8,2,Chronos-2:2|tirex2:8,tirex2|tirex2|tirex2|tirex2|tirex2|tirex2|tirex2|tirex2|Chronos-2|Chronos-2,False,10,0.023431957475123263,0.014732698993485525,0.6287438430667442,0.02049491616117017,0.002500930596713774,0.05031552168430979,0.04781459108759602,0.003589493582934128,0.04831644845078039,0.012892819506812883,0.033971095443433644
regime_switching,4,timesfm2.5,0.5,5,3,Chronos-2:1|timesfm2.5:5|tirex2:4,timesfm2.5|tirex2|tirex2|timesfm2.5|tirex2|tirex2|timesfm2.5|timesfm2.5|timesfm2.5|Chronos-2,False,10,0.013511693783338757,0.0121375679339707,0.8983009923550451,0.006642302780171611,0.0011678493588493655,0.03120475962494007,0.030036910266090705,0.0017057929210224218,0.030911458407155996,0.004829000740304323,0.02219438682637319
regime_switching,5,Chronos-2,0.6,6,3,Chronos-2:6|timesfm2.5:3|tirex2:1,tirex2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|timesfm2.5|timesfm2.5|timesfm2.5|Chronos-2|Chronos-2,False,10,0.014833203638745743,0.013783479323973913,0.9292314499054102,0.010515341054649428,0.0027676468959359213,0.04416300934651242,0.0413953624505765,0.002846670722897112,0.0418717119649705,0.004973096516286513,0.024693310761204974
predictable_intermittency,1,timesfm2.5,0.8,8,2,Timer-3.5:2|timesfm2.5:8,timesfm2.5|timesfm2.5|timesfm2.5|timesfm2.5|timesfm2.5|timesfm2.5|timesfm2.5|timesfm2.5|Timer-3.5|Timer-3.5,False,10,0.014435040156723195,0.012221462123182762,0.8466524505988681,0.011040883078326597,0.002210835753034157,0.04216716875697091,0.03995633300393675,0.002443416929940853,0.03823830086706769,0.005692332826066621,0.023177747487379767
predictable_intermittency,2,timesfm2.5,0.9,9,2,Timer-3.5:1|timesfm2.5:9,timesfm2.5|timesfm2.5|timesfm2.5|timesfm2.5|timesfm2.5|timesfm2.5|Timer-3.5|timesfm2.5|timesfm2.5|timesfm2.5,False,10,0.05054988841921402,0.031341469912032356,0.6200106645560757,0.048805602599818865,0.009432809143822163,0.09716639802902005,0.08773358888519789,0.009521632350491471,0.09433931519553397,0.02812955147493692,0.07297022536349113
predictable_intermittency,3,Chronos-2,0.5,5,2,Chronos-2:5|timesfm2.5:5,Chronos-2|timesfm2.5|timesfm2.5|timesfm2.5|Chronos-2|Chronos-2|Chronos-2|timesfm2.5|Chronos-2|timesfm2.5,False,10,0.03821387698221521,0.03334335095182998,0.8725456191568318,0.026174153046347126,0.009708212880493283,0.11772696537012328,0.10801875248963,0.01039083419760429,0.10568443053166685,0.014361480611223366,0.06206627335320706
predictable_intermittency,4,timesfm2.5,0.7,7,2,Chronos-2:3|timesfm2.5:7,timesfm2.5|timesfm2.5|Chronos-2|timesfm2.5|Chronos-2|timesfm2.5|timesfm2.5|Chronos-2|timesfm2.5|timesfm2.5,False,10,0.03431645104748952,0.03264892593173723,0.9514074135042505,0.0203162168610298,0.0033362476437950317,0.09278922027235725,0.08945297262856222,0.0037761152769920482,0.09227245863901373,0.010960816410287275,0.05767208568469176
predictable_intermittency,5,timesfm2.5,0.8,8,3,Chronos-2:1|Timer-3.5:1|timesfm2.5:8,timesfm2.5|Chronos-2|timesfm2.5|timesfm2.5|timesfm2.5|timesfm2.5|timesfm2.5|Timer-3.5|timesfm2.5|timesfm2.5,False,10,0.03206478651570184,0.027303871681075488,0.8515220167676784,0.022896526144823515,0.0017559706890446503,0.09478950236549366,0.09303353167644901,0.0031791358550718853,0.08636646861077628,0.012532773349401623,0.05159679968200206
common_factor,1,Chronos-2,0.9,9,2,Chronos-2:9|tirex2:1,Chronos-2|Chronos-2|Chronos-2|Chronos-2|tirex2|Chronos-2|Chronos-2|Chronos-2|Chronos-2|Chronos-2,False,10,0.04522064378423096,0.029000680403941465,0.641315071548238,0.047702443823063434,0.0069711587797695596,0.09236630040836974,0.08539514162860018,0.00804424573371916,0.08921575721085158,0.024474806779948007,0.06596648078851391
common_factor,2,Chronos-2,0.7,7,3,Chronos-2:7|tirex2:2|toto2.0:1,Chronos-2|Chronos-2|Chronos-2|toto2.0|tirex2|Chronos-2|Chronos-2|Chronos-2|tirex2|Chronos-2,False,10,0.033818430749250186,0.027719304592131417,0.819650822879947,0.03385571207854143,0.0009869841681123814,0.0851958610387,0.08420887687058762,0.0011890180027097235,0.07797509144982998,0.013989234781066128,0.05364762671743424
common_factor,3,Chronos-2,0.5,5,3,Chronos-2:5|tirex2:3|toto2.0:2,tirex2|Chronos-2|Chronos-2|toto2.0|tirex2|toto2.0|Chronos-2|Chronos-2|tirex2|Chronos-2,False,10,0.03118154804252815,0.01968466062982211,0.6312919616105791,0.036852146768152766,0.006412672038012879,0.06743195372920543,0.061019281691192556,0.006432948865881413,0.06227203771760808,0.017099990119652193,0.04526310596540411
common_factor,4,Chronos-2,0.5,5,2,Chronos-2:5|toto2.0:5,toto2.0|Chronos-2|Chronos-2|toto2.0|toto2.0|toto2.0|Chronos-2|Chronos-2|toto2.0|Chronos-2,False,10,0.023705737052459465,0.017707631341199473,0.7469766201326489,0.028434800870574123,0.0008313129519438578,0.04579730430368131,0.044965991351737455,0.0008829422503258154,0.044643352389092485,0.011038460684470213,0.03637301342044871
common_factor,5,Chronos-2,0.6,6,2,Chronos-2:6|toto2.0:4,toto2.0|Chronos-2|Chronos-2|toto2.0|toto2.0|Chronos-2|Chronos-2|Chronos-2|toto2.0|Chronos-2,False,10,0.020119004052419637,0.009184434210588371,0.4565054108373617,0.02041655075889505,0.008773598262054899,0.033927233066923745,0.025153634804868846,0.009018363542066848,0.032868005854343824,0.013548855612608185,0.02668915249223109
cross_series_dependence,1,tirex2,0.5,5,3,Chronos-2:4|moirai2:1|tirex2:5,moirai2|tirex2|Chronos-2|tirex2|tirex2|Chronos-2|tirex2|Chronos-2|Chronos-2|tirex2,False,10,0.023679056671789888,0.016601874149766133,0.7011205885386821,0.02364206130495411,0.0013788291454279733,0.043346816520890896,0.04196798737546292,0.001979824186225415,0.04269133628129262,0.011802791346999198,0.035555321996580576
cross_series_dependence,2,tirex2,0.7,7,2,Chronos-2:3|tirex2:7,tirex2|tirex2|Chronos-2|tirex2|tirex2|Chronos-2|tirex2|Chronos-2|tirex2|tirex2,False,10,0.0161713531417909,0.012587888555185653,0.7784066333110579,0.013702488872034457,0.000785836867980394,0.04329938745215467,0.042513550584174276,0.0012366398417237162,0.03945491278280662,0.007166520132477499,0.025176186151104306
cross_series_dependence,3,tirex2,0.7,7,2,Chronos-2:3|tirex2:7,Chronos-2|tirex2|Chronos-2|tirex2|tirex2|tirex2|tirex2|Chronos-2|tirex2|tirex2,False,10,0.013400647203749028,0.01107752360269191,0.8266409401176393,0.009643401888640435,0.0015876163950104827,0.0344891976373396,0.032901581242329114,0.0021755891609522545,0.03287957248392442,0.005476264193710752,0.021325030213787302
cross_series_dependence,4,tirex2,0.6,6,2,Chronos-2:4|tirex2:6,Chronos-2|tirex2|Chronos-2|Chronos-2|tirex2|tirex2|tirex2|Chronos-2|tirex2|tirex2,False,10,0.014069617234665443,0.013071836422319514,0.9290825901157037,0.010734819908236437,0.00028351017104477627,0.043858571443982974,0.0435750612729382,0.001016494467579529,0.04001288064931251,0.004718588776476814,0.02342064569285407
cross_series_dependence,5,Chronos-2,0.5,5,2,Chronos-2:5|tirex2:5,Chronos-2|tirex2|Chronos-2|Chronos-2|Chronos-2|tirex2|tirex2|Chronos-2|tirex2|tirex2,False,10,0.01040415743099563,0.007765324378457277,0.7463674430111128,0.009585367215393603,0.0002589241492226835,0.02326582359409546,0.023006899444872775,0.0007916107712463843,0.022398144242641634,0.004849179009904352,0.015959135852086907
covariate_impulse_response,1,timesfm2.5,0.7,7,2,Chronos-2:3|timesfm2.5:7,timesfm2.5|timesfm2.5|timesfm2.5|Chronos-2|timesfm2.5|timesfm2.5|Chronos-2|Chronos-2|timesfm2.5|timesfm2.5,False,10,0.12036422161372243,0.07955895361427265,0.6609850713744185,0.13546780530545552,0.0009321220121685236,0.25630760796526236,0.25537548595309384,0.004689601086712217,0.2399245081066537,0.06345117471539213,0.17727726851205272
