lower_mean_model,higher_mean_model,lower_model_better_seed_count,higher_model_better_seed_count,tie_seed_count,mean_gap_higher_minus_lower,paired_gap_sd,paired_seed_sd_to_mean_gap,gap_mean_ci95_low,gap_mean_ci95_high,mean_order_ci_excludes_zero
Chronos-2,timesfm2.5,10,0,0,0.03379701458789719,0.013315987885968094,0.39399893891031984,0.02427133069408912,0.04332269848170526,True
Chronos-2,Timer-3.5,10,0,0,0.03879988933350905,0.01414185793834737,0.3644819142856144,0.028683413594312056,0.048916365072706046,True
Chronos-2,tirex2,10,0,0,0.10017463444965409,0.016178307984202077,0.16150104338372198,0.0886013701065275,0.11174789879278069,True
Chronos-2,moirai2,10,0,0,0.10903958846327226,0.019220345056491336,0.17626942037630042,0.0952901818923198,0.12278899503422472,True
Chronos-2,toto2.0,10,0,0,0.14132275274628028,0.024566305227142062,0.17383121082594866,0.12374907664830544,0.15889642884425514,True
timesfm2.5,Timer-3.5,7,3,0,0.005002874745611863,0.006688932047728644,1.3370176923968886,0.00021790101182169765,0.009787848479402029,True
timesfm2.5,tirex2,10,0,0,0.0663776198617569,0.015816548161001587,0.23828133931199005,0.055063142906452964,0.07769209681706084,True
timesfm2.5,moirai2,10,0,0,0.07524257387537506,0.010110869067255042,0.13437696966615953,0.06800969386293192,0.0824754538878182,True
timesfm2.5,toto2.0,10,0,0,0.1075257381583831,0.023560294877420434,0.21911307265537325,0.09067171851154138,0.12437975780522481,True
Timer-3.5,tirex2,10,0,0,0.06137474511614503,0.014579096602731302,0.23754227533070724,0.050945487678831516,0.07180400255345855,True
Timer-3.5,moirai2,10,0,0,0.0702396991297632,0.011259010378806736,0.1602941145577298,0.06218548830109212,0.07829390995843429,True
Timer-3.5,toto2.0,10,0,0,0.10252286341277121,0.025079280590460593,0.2446213435288863,0.08458222684606292,0.1204634999794795,True
tirex2,moirai2,7,3,0,0.008864954013618165,0.02165543710481413,2.4428143757483096,-0.006626412470732198,0.02435632049796853,False
tirex2,toto2.0,9,1,0,0.04114811829662618,0.02780215216873555,0.6756603538542638,0.02125965674237692,0.06103657985087544,True
moirai2,toto2.0,9,1,0,0.032283164283008016,0.025598903091439938,0.7929490079420038,0.013970812171735805,0.05059551639428023,True
