seed,experiment_id,suite_rows,effect_cells,ablation_cells,official_cells,tasks,models,capabilities,levels,generation_manifests,validations_accepted,validation_failures,inference_manifests_complete,model_statuses,failed_model_statuses,inference_failures,analysis_manifests,treatments,input_ablations,official_instances
2026082701,gift-v15-short-stability10-head78ef32f-seed2026082701,392,280,105,7,10,7,8,1|2|3|4|5,10,10,0,10,70,0,0,10,239030,39495,10528
2026082702,gift-v15-short-stability10-head78ef32f-seed2026082702,392,280,105,7,10,7,8,1|2|3|4|5,10,10,0,10,70,0,0,10,239030,39495,10528
2026082703,gift-v15-short-stability10-head78ef32f-seed2026082703,392,280,105,7,10,7,8,1|2|3|4|5,10,10,0,10,70,0,0,10,239030,39495,10528
2026082704,gift-v15-short-stability10-head78ef32f-seed2026082704,392,280,105,7,10,7,8,1|2|3|4|5,10,10,0,10,70,0,0,10,239030,39495,10528
2026082705,gift-v15-short-stability10-head78ef32f-seed2026082705,392,280,105,7,10,7,8,1|2|3|4|5,10,10,0,10,70,0,0,10,239030,39495,10528
2026082706,gift-v15-short-stability10-head78ef32f-seed2026082706,392,280,105,7,10,7,8,1|2|3|4|5,10,10,0,10,70,0,0,10,239030,39495,10528
2026082707,gift-v15-short-stability10-head78ef32f-seed2026082707,392,280,105,7,10,7,8,1|2|3|4|5,10,10,0,10,70,0,0,10,239030,39495,10528
2026082708,gift-v15-short-stability10-head78ef32f-seed2026082708,392,280,105,7,10,7,8,1|2|3|4|5,10,10,0,10,70,0,0,10,239030,39495,10528
2026082709,gift-v15-short-stability10-head78ef32f-seed2026082709,392,280,105,7,10,7,8,1|2|3|4|5,10,10,0,10,70,0,0,10,239030,39495,10528
2026082710,gift-v15-short-stability10-head78ef32f-seed2026082710,392,280,105,7,10,7,8,1|2|3|4|5,10,10,0,10,70,0,0,10,239030,39495,10528
