time,target,temperature,load
2026-01-01 00:00:00,203.3989,7.0609,133.6091
2026-01-01 01:00:00,204.5830,8.1472,132.1040
2026-01-01 02:00:00,215.5407,9.3379,136.7527
2026-01-01 03:00:00,221.2198,11.5537,139.6231
2026-01-01 04:00:00,222.7789,13.4078,139.5074
2026-01-01 05:00:00,229.0978,16.0202,140.9837
2026-01-01 06:00:00,229.7720,16.9489,138.9956
2026-01-01 07:00:00,230.7408,19.1809,136.3402
2026-01-01 08:00:00,230.9466,19.5079,134.6071
2026-01-01 09:00:00,221.5127,20.1153,126.4787
2026-01-01 10:00:00,215.0151,19.0646,120.2451
2026-01-01 11:00:00,211.1579,19.0732,116.8253
2026-01-01 12:00:00,202.9390,17.1481,110.4776
2026-01-01 13:00:00,192.7727,16.5054,104.7868
2026-01-01 14:00:00,184.0144,13.4283,99.9041
2026-01-01 15:00:00,179.2413,12.1165,101.7564
2026-01-01 16:00:00,175.0657,9.7209,99.1933
2026-01-01 17:00:00,172.0105,8.4441,100.8141
2026-01-01 18:00:00,170.7673,5.7145,103.5956
2026-01-01 19:00:00,175.5294,5.5975,106.8579
2026-01-01 20:00:00,177.3831,4.9426,111.8006
2026-01-01 21:00:00,185.5005,3.4676,120.2714
2026-01-01 22:00:00,184.7474,4.1386,117.6021
2026-01-01 23:00:00,198.1619,5.3713,130.4514
2026-01-02 00:00:00,206.0397,7.0613,133.7782
2026-01-02 01:00:00,215.4203,8.3984,138.2960
2026-01-02 02:00:00,222.6951,9.7326,141.0506
2026-01-02 03:00:00,221.8702,11.9455,138.9798
2026-01-02 04:00:00,233.6494,14.7913,144.0534
2026-01-02 05:00:00,230.1558,16.0464,139.3604
2026-01-02 06:00:00,234.8492,18.1574,139.9218
2026-01-02 07:00:00,233.0018,19.5696,136.9917
2026-01-02 08:00:00,229.5230,20.3551,133.9688
2026-01-02 09:00:00,229.3247,20.3004,130.1742
2026-01-02 10:00:00,221.6442,20.2551,124.8843
2026-01-02 11:00:00,210.9220,18.6006,116.5324
2026-01-02 12:00:00,207.5733,17.7482,114.7437
2026-01-02 13:00:00,200.3978,15.3735,111.1043
2026-01-02 14:00:00,189.3600,14.1655,106.2972
2026-01-02 15:00:00,182.6236,12.7224,100.8174
2026-01-02 16:00:00,180.5154,9.9964,102.2496
2026-01-02 17:00:00,177.6590,7.9532,103.8056
2026-01-02 18:00:00,178.0470,5.5495,106.3369
2026-01-02 19:00:00,179.7570,4.4988,111.9120
2026-01-02 20:00:00,178.2480,4.5624,110.6414
2026-01-02 21:00:00,185.1314,3.8761,116.4771
2026-01-02 22:00:00,193.4969,4.2409,125.5144
2026-01-02 23:00:00,199.5985,5.1612,129.5229
2026-01-03 00:00:00,205.5824,6.9812,131.6950
2026-01-03 01:00:00,218.1275,8.5815,140.5270
2026-01-03 02:00:00,224.7156,10.2068,143.9099
2026-01-03 03:00:00,227.1962,11.7114,142.7863
2026-01-03 04:00:00,232.1981,14.8061,143.6840
2026-01-03 05:00:00,236.0282,15.8713,145.4711
2026-01-03 06:00:00,237.9221,17.7429,141.7752
2026-01-03 07:00:00,235.4523,18.2707,137.5522
2026-01-03 08:00:00,232.4919,20.2910,134.5050
2026-01-03 09:00:00,226.6463,19.9404,127.4004
2026-01-03 10:00:00,224.2282,19.6348,127.3098
2026-01-03 11:00:00,214.6888,19.4896,118.1444
2026-01-03 12:00:00,212.8609,17.8715,115.8873
2026-01-03 13:00:00,203.8428,15.6410,112.0954
2026-01-03 14:00:00,191.4727,14.6104,104.5848
2026-01-03 15:00:00,190.1429,11.8332,107.7325
2026-01-03 16:00:00,181.9638,9.2547,105.8389
