time,target,temperature
2026-01-01 00:00:00,99.8571,15.0717
2026-01-01 01:00:00,101.7726,16.2529
2026-01-01 02:00:00,101.0235,17.6049
2026-01-01 03:00:00,100.5540,18.5498
2026-01-01 04:00:00,102.3896,19.6817
2026-01-01 05:00:00,101.2824,19.5937
2026-01-01 06:00:00,101.7720,20.3716
2026-01-01 07:00:00,104.0803,19.2799
2026-01-01 08:00:00,105.4466,19.8878
2026-01-01 09:00:00,104.9618,18.6742
2026-01-01 10:00:00,103.9725,16.9180
2026-01-01 11:00:00,105.5851,15.7656
2026-01-01 12:00:00,105.0706,14.6903
2026-01-01 13:00:00,105.0902,13.6626
2026-01-01 14:00:00,106.8216,12.9109
2026-01-01 15:00:00,107.5574,11.6328
2026-01-01 16:00:00,107.9993,10.8648
2026-01-01 17:00:00,108.3720,9.9042
2026-01-01 18:00:00,110.4930,10.5948
2026-01-01 19:00:00,110.5206,10.4197
2026-01-01 20:00:00,109.4458,10.3455
2026-01-01 21:00:00,109.8671,10.9487
2026-01-01 22:00:00,111.7989,12.3805
2026-01-01 23:00:00,112.5398,13.5697
2026-01-02 00:00:00,113.3741,15.4168
2026-01-02 01:00:00,111.0016,15.9458
2026-01-02 02:00:00,114.2308,17.4640
2026-01-02 03:00:00,114.9411,18.4124
2026-01-02 04:00:00,112.7191,19.4855
2026-01-02 05:00:00,115.3355,19.5534
2026-01-02 06:00:00,113.7614,19.7991
2026-01-02 07:00:00,116.8922,20.1393
2026-01-02 08:00:00,114.8540,19.0258
2026-01-02 09:00:00,115.3031,18.0074
2026-01-02 10:00:00,117.8911,17.1132
2026-01-02 11:00:00,117.6779,16.2310
2026-01-02 12:00:00,117.0721,15.2783
2026-01-02 13:00:00,117.3929,13.8784
2026-01-02 14:00:00,117.8495,12.4049
2026-01-02 15:00:00,118.6386,11.1882
2026-01-02 16:00:00,121.4128,11.0340
2026-01-02 17:00:00,119.9124,10.6322
2026-01-02 18:00:00,120.1321,9.8731
2026-01-02 19:00:00,122.5631,10.3406
2026-01-02 20:00:00,120.8010,11.2570
2026-01-02 21:00:00,121.6397,11.1744
2026-01-02 22:00:00,123.8181,12.2947
2026-01-02 23:00:00,122.8890,13.1940
2026-01-03 00:00:00,122.7704,15.0993
2026-01-03 01:00:00,123.7290,16.4156
2026-01-03 02:00:00,124.6151,17.4438
2026-01-03 03:00:00,126.8774,18.5160
2026-01-03 04:00:00,126.2237,19.7700
2026-01-03 05:00:00,125.5485,19.4146
2026-01-03 06:00:00,128.2253,20.3814
2026-01-03 07:00:00,126.7485,19.4574
2026-01-03 08:00:00,128.7183,19.8586
2026-01-03 09:00:00,127.5898,19.0757
2026-01-03 10:00:00,130.1466,17.6242
2026-01-03 11:00:00,129.2644,15.8187
2026-01-03 12:00:00,128.6161,15.5552
2026-01-03 13:00:00,129.7152,13.9514
2026-01-03 14:00:00,130.2709,12.8885
2026-01-03 15:00:00,131.7894,11.2166
2026-01-03 16:00:00,131.0263,10.9343
2026-01-03 17:00:00,131.2063,9.8444
2026-01-03 18:00:00,133.1781,10.4229
2026-01-03 19:00:00,133.8429,9.9066
2026-01-03 20:00:00,135.2521,10.3146
2026-01-03 21:00:00,133.0497,11.1875
2026-01-03 22:00:00,134.8371,11.9725
2026-01-03 23:00:00,134.5288,13.5484
2026-01-04 00:00:00,136.2165,14.5579
2026-01-04 01:00:00,136.0864,16.7632
2026-01-04 02:00:00,138.4415,17.6883
2026-01-04 03:00:00,138.0737,18.6369
2026-01-04 04:00:00,136.9210,18.7722
2026-01-04 05:00:00,137.0537,20.3219
2026-01-04 06:00:00,139.6029,20.5553
2026-01-04 07:00:00,138.0638,19.9931
2026-01-04 08:00:00,139.9467,19.6067
2026-01-04 09:00:00,139.9567,19.1348
2026-01-04 10:00:00,139.7258,17.5553
2026-01-04 11:00:00,142.2110,16.7743
2026-01-04 12:00:00,142.7113,15.2444
2026-01-04 13:00:00,143.3798,14.2039
2026-01-04 14:00:00,142.5555,12.7222
2026-01-04 15:00:00,144.7025,11.9098
2026-01-04 16:00:00,143.7515,11.0185
2026-01-04 17:00:00,145.5904,10.2577
2026-01-04 18:00:00,145.3749,9.8588
2026-01-04 19:00:00,145.7480,10.3010
2026-01-04 20:00:00,144.7406,10.8372
2026-01-04 21:00:00,147.9800,11.9202
2026-01-04 22:00:00,147.6846,12.3661
2026-01-04 23:00:00,148.2051,13.8030
2026-01-05 00:00:00,147.8216,15.4060
2026-01-05 01:00:00,147.2513,16.5943
2026-01-05 02:00:00,147.5894,17.6215
2026-01-05 03:00:00,149.4429,18.2118
2026-01-05 04:00:00,150.5950,19.3268
2026-01-05 05:00:00,150.8435,20.3342
2026-01-05 06:00:00,150.2675,19.4136
2026-01-05 07:00:00,150.9031,20.0434
2026-01-05 08:00:00,151.1077,18.9337
2026-01-05 09:00:00,153.7172,18.7275
2026-01-05 10:00:00,152.8258,17.9701
2026-01-05 11:00:00,152.9809,16.4932
2026-01-05 12:00:00,153.0955,14.9171
2026-01-05 13:00:00,155.4180,14.2030
2026-01-05 14:00:00,156.1408,12.3613
2026-01-05 15:00:00,155.7493,11.2443
2026-01-05 16:00:00,154.9085,10.6656
2026-01-05 17:00:00,157.5113,10.5888
2026-01-05 18:00:00,157.6337,10.5400
2026-01-05 19:00:00,156.8304,9.7733
2026-01-05 20:00:00,157.8519,10.4001
2026-01-05 21:00:00,157.6422,11.3612
2026-01-05 22:00:00,159.3772,12.4927
2026-01-05 23:00:00,158.9461,14.1128
2026-01-06 00:00:00,161.4461,14.9430
2026-01-06 01:00:00,159.2240,15.7319
2026-01-06 02:00:00,162.1185,16.9498
2026-01-06 03:00:00,162.1259,18.6202
2026-01-06 04:00:00,161.4271,19.6799
2026-01-06 05:00:00,161.0573,19.3927
2026-01-06 06:00:00,162.8645,19.4297
2026-01-06 07:00:00,164.4890,19.5145
2026-01-06 08:00:00,162.9226,18.7865
2026-01-06 09:00:00,164.8875,18.4713
2026-01-06 10:00:00,165.3899,17.6861
2026-01-06 11:00:00,166.4222,16.8442
2026-01-06 12:00:00,166.5535,14.6392
2026-01-06 13:00:00,166.4254,13.3203
2026-01-06 14:00:00,165.5323,12.4666
2026-01-06 15:00:00,168.1425,11.0794
2026-01-06 16:00:00,167.3171,10.4848
2026-01-06 17:00:00,169.0919,10.1949
2026-01-06 18:00:00,169.3433,10.3074
2026-01-06 19:00:00,169.1805,10.5207
2026-01-06 20:00:00,171.2187,10.1745
2026-01-06 21:00:00,171.7978,11.7313
2026-01-06 22:00:00,169.8897,12.4442
2026-01-06 23:00:00,171.8766,14.1979
2026-01-07 00:00:00,171.6304,15.0826
2026-01-07 01:00:00,173.6380,16.6502
2026-01-07 02:00:00,174.3328,17.4564
2026-01-07 03:00:00,173.9540,18.1814
