time,target,cov_a,cov_b,cov_c
2026-01-01 00:00:00,50.4686,7.3901,15.0535,0.0000
2026-01-01 01:00:00,53.5338,7.3688,16.1013,1.0000
2026-01-01 02:00:00,56.1354,6.9601,17.5570,2.0000
2026-01-01 03:00:00,55.5182,6.0835,17.6494,3.0000
2026-01-01 04:00:00,60.0475,5.7610,18.4991,4.0000
2026-01-01 05:00:00,58.8362,5.3779,17.5327,5.0000
2026-01-01 06:00:00,59.5153,4.6382,17.8697,6.0000
2026-01-01 07:00:00,60.9474,4.3006,18.6048,7.0000
2026-01-01 08:00:00,61.3881,3.5551,17.9731,8.0000
2026-01-01 09:00:00,56.3331,3.7631,16.7251,9.0000
2026-01-01 10:00:00,55.7577,3.0151,17.2813,10.0000
2026-01-01 11:00:00,54.7238,3.0155,17.0670,11.0000
2026-01-01 12:00:00,50.1246,2.8442,15.9529,12.0000
2026-01-01 13:00:00,47.6243,2.7122,13.3515,13.0000
2026-01-01 14:00:00,47.0893,3.5886,13.2302,14.0000
2026-01-01 15:00:00,44.3417,3.4822,12.9582,15.0000
2026-01-01 16:00:00,41.8793,3.8844,11.8464,16.0000
2026-01-01 17:00:00,43.7279,4.1815,13.1887,17.0000
2026-01-01 18:00:00,42.3632,5.1574,12.6576,18.0000
2026-01-01 19:00:00,42.3332,5.9540,12.0470,19.0000
2026-01-01 20:00:00,42.1421,5.8021,13.1231,20.0000
2026-01-01 21:00:00,44.7231,6.3041,12.5719,21.0000
2026-01-01 22:00:00,45.7049,6.8836,13.1693,22.0000
2026-01-01 23:00:00,49.5538,6.6695,14.4883,23.0000
2026-01-02 00:00:00,51.1655,7.4080,15.5976,0.0000
2026-01-02 01:00:00,55.0349,6.6608,17.1837,1.0000
2026-01-02 02:00:00,57.8458,6.3659,16.7150,2.0000
2026-01-02 03:00:00,61.5713,6.2361,18.2931,3.0000
2026-01-02 04:00:00,59.8456,6.3736,17.4448,4.0000
2026-01-02 05:00:00,62.8146,5.7409,18.9203,5.0000
2026-01-02 06:00:00,62.5036,4.7603,19.1384,6.0000
2026-01-02 07:00:00,61.7884,4.5985,19.4511,7.0000
2026-01-02 08:00:00,63.5517,4.1714,19.2571,8.0000
2026-01-02 09:00:00,59.0038,3.8989,18.5214,9.0000
2026-01-02 10:00:00,57.7852,2.8301,17.4000,10.0000
2026-01-02 11:00:00,55.8147,3.4178,17.2512,11.0000
2026-01-02 12:00:00,53.3258,3.0320,15.9579,12.0000
2026-01-02 13:00:00,51.7573,3.2078,15.8462,13.0000
2026-01-02 14:00:00,47.6717,3.5719,13.4082,14.0000
2026-01-02 15:00:00,45.8797,3.6417,12.8144,15.0000
2026-01-02 16:00:00,45.7500,3.8214,13.3986,16.0000
2026-01-02 17:00:00,42.7622,4.3623,12.9831,17.0000
2026-01-02 18:00:00,42.3944,5.3361,13.6842,18.0000
2026-01-02 19:00:00,44.7254,5.5696,14.0549,19.0000
2026-01-02 20:00:00,46.3535,6.1656,13.8564,20.0000
2026-01-02 21:00:00,47.5120,6.2781,13.4632,21.0000
2026-01-02 22:00:00,50.7124,6.8979,14.2220,22.0000
2026-01-02 23:00:00,53.2246,7.4175,15.7863,23.0000
2026-01-03 00:00:00,56.4741,6.7167,17.2070,0.0000
2026-01-03 01:00:00,58.6889,6.8379,17.1869,1.0000
2026-01-03 02:00:00,58.5434,6.7768,17.1763,2.0000
2026-01-03 03:00:00,62.0766,6.5300,18.0916,3.0000
2026-01-03 04:00:00,63.4867,5.5413,19.3725,4.0000
2026-01-03 05:00:00,65.8877,5.3118,19.1862,5.0000
2026-01-03 06:00:00,65.9423,4.9531,20.4162,6.0000
2026-01-03 07:00:00,66.1564,4.4341,19.7018,7.0000
2026-01-03 08:00:00,64.5825,4.0991,19.3265,8.0000
2026-01-03 09:00:00,62.9513,3.4568,19.2699,9.0000
2026-01-03 10:00:00,60.7431,2.9004,18.4870,10.0000
2026-01-03 11:00:00,57.7826,2.9068,17.5028,11.0000
2026-01-03 12:00:00,57.4832,2.9028,17.0490,12.0000
2026-01-03 13:00:00,54.0670,3.4188,16.8218,13.0000
2026-01-03 14:00:00,53.1542,2.8301,16.0077,14.0000
2026-01-03 15:00:00,48.6814,3.4506,14.2259,15.0000
2026-01-03 16:00:00,48.1077,4.2586,14.7457,16.0000
2026-01-03 17:00:00,45.1275,4.4488,14.1923,17.0000
2026-01-03 18:00:00,46.1453,4.7777,13.5573,18.0000
2026-01-03 19:00:00,47.4884,5.3205,13.5952,19.0000
2026-01-03 20:00:00,46.1885,5.6306,14.2163,20.0000
2026-01-03 21:00:00,48.0950,6.2431,13.9797,21.0000
2026-01-03 22:00:00,53.2463,7.0614,15.0581,22.0000
2026-01-03 23:00:00,53.0643,6.6862,15.2276,23.0000
2026-01-04 00:00:00,57.1154,7.4427,16.9390,0.0000
2026-01-04 01:00:00,60.6105,6.9409,19.0270,1.0000
2026-01-04 02:00:00,61.9697,6.8941,17.8273,2.0000
